Date,07/02/2020,Material,Brass,6min heating,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
24248,291.59,285.34,284.9,283.46,283.34,283.59,283.28,285.59
24386,291.71,285.34,284.9,283.46,283.34,283.65,283.28,285.59
24523,291.71,285.34,284.9,283.4,283.28,283.59,283.34,285.59
24660,291.84,285.34,284.9,283.4,283.28,283.59,283.34,285.59
24798,291.96,285.34,284.9,283.46,283.21,283.65,283.34,285.59
24935,291.96,285.28,284.9,283.46,283.21,283.65,283.34,285.59
25072,292.02,285.28,284.9,283.4,283.28,283.65,283.34,285.59
25209,292.02,285.34,284.9,283.4,283.28,283.65,283.34,285.59
25348,292.21,285.34,284.9,283.4,283.28,283.59,283.34,285.59
25485,292.21,285.34,284.9,283.4,283.28,283.59,283.34,285.59
25622,292.21,285.34,284.9,283.4,283.28,283.65,283.34,285.65
25759,292.34,285.34,284.96,283.4,283.28,283.59,283.34,285.65
25896,292.34,285.34,284.96,283.46,283.28,283.59,283.34,285.65
26034,292.46,285.34,284.9,283.34,283.28,283.59,283.34,285.65
26172,292.46,285.34,284.9,283.34,283.28,283.59,283.34,285.65
26309,292.59,285.34,284.9,283.4,283.28,283.59,283.34,285.65
26446,292.59,285.34,284.9,283.4,283.28,283.59,283.34,285.65
26584,292.65,285.34,284.9,283.4,283.28,283.59,283.34,285.59
26721,292.77,285.34,284.84,283.4,283.28,283.59,283.34,285.59
26858,292.77,285.4,284.84,283.4,283.28,283.59,283.34,285.65
26996,292.9,285.34,284.9,283.4,283.28,283.59,283.34,285.65
27133,292.9,285.34,284.9,283.4,283.28,283.59,283.34,285.65
27271,292.96,285.34,284.9,283.4,283.28,283.59,283.34,285.59
27408,292.96,285.34,284.9,283.34,283.28,283.59,283.34,285.59
27545,293.02,285.34,284.9,283.34,283.28,283.59,283.34,285.65
27682,293.21,285.34,284.9,283.34,283.28,283.59,283.28,285.65
27820,293.21,285.4,284.9,283.34,283.28,283.65,283.28,285.65
27958,293.34,285.34,284.84,283.4,283.28,283.65,283.28,285.65
28095,293.34,285.34,284.84,283.4,283.28,283.59,283.28,285.71
28232,293.46,285.4,284.84,283.4,283.28,283.59,283.34,285.65
28369,293.46,285.4,284.84,283.34,283.28,283.59,283.34,285.65
28507,293.52,285.34,284.84,283.34,283.28,283.59,283.34,285.65
28644,293.65,285.34,284.9,283.34,283.28,283.59,283.28,285.65
28782,293.65,285.34,284.9,283.34,283.28,283.59,283.28,285.65
28919,293.77,285.4,284.9,283.4,283.28,283.59,283.28,285.65
29057,293.77,285.4,284.9,283.4,283.28,283.53,283.28,285.71
29194,293.9,285.4,284.9,283.34,283.28,283.53,283.34,285.65
29331,293.9,285.4,284.9,283.34,283.28,283.53,283.34,285.65
29468,294.02,285.4,284.9,283.4,283.28,283.59,283.28,285.65
