Date,19/02/2020,Material,Aluminum,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
6.866,332.15,313.84,302.59,294.52,289.21,285.9,284.53,280.15
8.239,332.09,313.96,302.71,294.71,289.27,285.96,284.53,280.15
9.613,332.03,314.03,302.84,294.77,289.4,285.96,284.59,280.15
10.986,331.96,314.15,302.9,294.9,289.4,286.03,284.65,280.21
12.359,331.84,314.21,303.02,294.96,289.46,286.09,284.71,280.15
13.732,331.71,314.28,303.15,295.02,289.52,286.09,284.71,280.15
15.106,331.53,314.4,303.27,295.09,289.65,286.21,284.71,280.21
16.48,331.28,314.4,303.34,295.21,289.71,286.21,284.78,280.15
17.853,331.15,314.4,303.46,295.27,289.77,286.28,284.78,280.15
19.226,330.9,314.46,303.52,295.34,289.84,286.28,284.84,280.28
20.599,330.71,314.46,303.65,295.46,289.96,286.4,284.84,280.21
21.972,330.46,314.46,303.65,295.52,289.96,286.4,284.9,280.21
23.345,330.21,314.4,303.71,295.59,290.02,286.46,284.96,280.21
24.719,330.03,314.46,303.84,295.65,290.15,286.53,284.96,280.21
26.092,329.71,314.34,303.84,295.71,290.21,286.59,285.09,280.21
27.465,329.53,314.34,303.9,295.84,290.27,286.65,285.09,280.21
28.839,329.15,314.28,303.9,295.9,290.34,286.65,285.09,280.28
30.212,328.96,314.15,303.96,295.9,290.34,286.71,285.15,280.21
31.586,328.71,314.15,303.96,296.02,290.46,286.78,285.15,280.21
32.959,328.4,314.03,304.02,296.09,290.52,286.78,285.21,280.28
34.332,328.15,313.96,303.96,296.15,290.59,286.84,285.28,280.21
35.705,327.78,313.9,304.02,296.21,290.65,286.9,285.28,280.21
37.078,327.59,313.78,303.96,296.21,290.71,286.96,285.34,280.21
38.451,327.28,313.71,304.02,296.27,290.77,286.96,285.34,280.28
39.825,326.96,313.59,304.02,296.34,290.84,287.03,285.4,280.21
41.199,326.65,313.46,304.02,296.4,290.9,287.09,285.46,280.28
42.572,326.34,313.4,304.02,296.46,290.96,287.15,285.46,280.34
43.945,326.09,313.21,304.02,296.46,291.02,287.21,285.53,280.28
45.318,325.71,313.15,303.96,296.52,291.09,287.28,285.53,280.34
46.692,325.46,313.03,303.96,296.59,291.15,287.28,285.53,280.28
48.065,325.15,312.9,303.9,296.59,291.15,287.34,285.59,280.28
49.438,324.84,312.78,303.9,296.65,291.21,287.4,285.65,280.21
50.812,324.53,312.71,303.9,296.65,291.34,287.4,285.71,280.28
52.185,324.21,312.53,303.84,296.65,291.34,287.46,285.65,280.28
53.559,323.9,312.4,303.84,296.71,291.4,287.53,285.71,280.28
54.932,323.59,312.21,303.77,296.71,291.4,287.53,285.78,280.28
56.305,323.34,312.15,303.71,296.71,291.46,287.59,285.78,280.34
57.678,323.03,311.96,303.65,296.71,291.59,287.65,285.84,280.28
59.052,322.78,311.84,303.59,296.77,291.59,287.65,285.9,280.28
60.426,322.4,311.65,303.52,296.77,291.59,287.71,285.9,280.28
61.799,322.15,311.53,303.52,296.77,291.65,287.71,285.96,280.28
63.172,321.84,311.4,303.46,296.77,291.71,287.84,285.96,280.34
64.545,321.46,311.21,303.4,296.77,291.71,287.84,286.03,280.34
65.918,321.28,311.09,303.34,296.77,291.71,287.9,286.03,280.28
