Date,19/02/2020,Material,Aluminum,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
6.866,340.59,321.59,309.53,300.96,295.46,291.27,289.59,280.15
8.24,340.52,321.78,309.65,301.09,295.46,291.34,289.59,280.09
9.614,340.4,321.84,309.71,301.15,295.59,291.4,289.59,280.09
10.987,340.34,321.96,309.84,301.21,295.65,291.34,289.65,280.09
12.36,340.15,322.03,309.9,301.27,295.65,291.46,289.65,280.09
13.733,340.02,322.03,310.03,301.34,295.71,291.52,289.71,280.09
15.107,339.84,322.09,310.15,301.4,295.77,291.52,289.71,280.09
16.481,339.65,322.15,310.21,301.52,295.84,291.52,289.77,280.03
17.854,339.4,322.21,310.34,301.59,295.9,291.52,289.77,280.03
19.227,339.27,322.15,310.4,301.65,295.9,291.52,289.77,280.09
20.6,339.02,322.15,310.46,301.71,296.02,291.59,289.77,280.09
21.974,338.77,322.15,310.53,301.77,295.96,291.59,289.77,280.03
23.347,338.52,322.15,310.53,301.77,296.02,291.65,289.84,280.15
24.721,338.27,322.09,310.65,301.84,296.02,291.71,289.9,280.09
26.094,337.96,321.96,310.71,301.9,296.15,291.71,289.9,280.09
27.467,337.71,321.96,310.71,302.02,296.21,291.77,289.9,280.03
28.84,337.4,321.9,310.78,302.09,296.27,291.84,289.96,280.09
30.214,337.15,321.84,310.78,302.09,296.27,291.84,289.96,280.09
31.588,336.84,321.71,310.78,302.21,296.34,291.84,289.96,280.15
32.961,336.53,321.71,310.9,302.21,296.4,291.9,290.02,280.09
34.334,336.28,321.59,310.84,302.34,296.46,291.9,290.02,280.09
35.707,335.9,321.46,310.84,302.34,296.46,291.96,290.09,280.09
37.081,335.59,321.4,310.9,302.34,296.52,291.96,290.15,280.09
38.455,335.28,321.28,310.84,302.4,296.59,292.02,290.09,280.09
39.828,334.96,321.15,310.84,302.46,296.65,292.09,290.15,280.09
41.201,334.65,321.03,310.84,302.46,296.65,292.09,290.15,280.09
42.574,334.4,320.96,310.78,302.52,296.71,292.15,290.27,280.09
43.947,334.03,320.78,310.71,302.59,296.77,292.15,290.27,280.09
45.32,333.71,320.65,310.71,302.52,296.84,292.21,290.27,280.09
46.694,333.34,320.46,310.65,302.59,296.84,292.21,290.27,280.09
48.068,333.03,320.4,310.59,302.65,296.9,292.27,290.27,280.09
49.441,332.71,320.21,310.53,302.65,296.96,292.34,290.27,280.15
50.814,332.34,320.09,310.53,302.65,296.96,292.27,290.34,280.09
52.187,332.09,319.9,310.53,302.65,297.02,292.4,290.34,280.09
53.561,331.71,319.71,310.4,302.65,297.02,292.4,290.34,280.09
54.935,331.4,319.59,310.4,302.71,297.09,292.4,290.27,280.09
56.308,331.09,319.4,310.34,302.65,297.09,292.46,290.27,280.09
57.681,330.71,319.21,310.28,302.71,297.09,292.46,290.27,280.09
59.054,330.4,319.09,310.15,302.71,297.21,292.52,290.27,280.15
60.428,330.09,318.96,310.15,302.71,297.21,292.59,290.27,280.15
61.801,329.78,318.71,310.03,302.65,297.21,292.52,290.27,280.15
63.174,329.4,318.59,309.96,302.65,297.27,292.59,290.27,280.09
64.548,329.15,318.4,309.84,302.65,297.27,292.59,290.34,280.15
65.921,328.71,318.21,309.78,302.59,297.27,292.65,290.27,280.15
67.294,328.46,318.03,309.65,302.52,297.27,292.65,290.27,280.09
68.668,328.15,317.9,309.59,302.52,297.27,292.65,290.27,280.09
70.041,327.84,317.65,309.46,302.46,297.34,292.65,290.27,280.15
71.415,327.53,317.46,309.34,302.46,297.27,292.71,290.27,280.15
72.788,327.15,317.34,309.28,302.46,297.34,292.71,290.27,280.09
74.161,326.9,317.15,309.21,302.34,297.27,292.71,290.27,280.15
75.535,326.53,316.84,309.09,302.34,297.34,292.77,290.27,280.09
76.908,326.21,316.65,308.96,302.27,297.27,292.77,290.27,280.09
78.282,325.9,316.53,308.84,302.27,297.34,292.77,290.27,280.09
79.655,325.59,316.28,308.71,302.27,297.34,292.77,290.27,280.15
81.028,325.28,316.03,308.71,302.21,297.27,292.77,290.34,280.09
82.402,324.9,315.9,308.53,302.21,297.27,292.84,290.34,280.09
83.775,324.59,315.65,308.46,302.09,297.34,292.77,290.34,280.09
85.149,324.21,315.46,308.34,302.09,297.27,292.84,290.4,280.09
86.522,323.96,315.28,308.21,302.09,297.34,292.84,290.4,280.09
87.895,323.59,315.03,308.09,301.96,297.34,292.84,290.4,280.03
89.269,323.21,314.9,307.96,301.9,297.21,292.84,290.46,280.03
90.643,322.96,314.71,307.9,301.9,297.27,292.77,290.46,280.09
92.017,322.59,314.46,307.78,301.84,297.27,292.84,290.46,280.03
93.39,322.34,314.21,307.59,301.77,297.21,292.84,290.46,279.96
94.764,321.96,314.09,307.53,301.77,297.21,292.9,290.46,280.03
96.138,321.65,313.84,307.34,301.71,297.21,292.9,290.52,279.96
97.512,321.4,313.65,307.28,301.65,297.21,292.9,290.52,280.03
98.885,321.03,313.46,307.15,301.59,297.21,292.9,290.59,280.03
100.259,320.78,313.34,307.03,301.59,297.15,292.9,290.59,279.96
101.632,320.46,313.09,306.96,301.46,297.15,292.9,290.59,279.96
103.006,320.15,312.96,306.84,301.4,297.15,292.9,290.59,280.03
104.381,319.96,312.71,306.71,301.4,297.15,292.9,290.59,280.09
105.754,319.65,312.53,306.59,301.34,297.21,292.96,290.65,279.96
107.128,319.34,312.34,306.46,301.27,297.09,292.96,290.59,280.03
108.501,319.03,312.15,306.34,301.21,297.15,292.9,290.65,280.03
109.875,318.65,311.9,306.21,301.15,297.15,292.9,290.65,280.03
111.249,318.4,311.71,306.03,301.09,297.09,292.96,290.65,280.09
112.623,318.15,311.59,305.96,301.02,297.02,292.9,290.65,280.03
113.996,317.9,311.4,305.84,300.96,297.02,292.9,290.65,280.09
115.37,317.65,311.15,305.71,300.9,297.02,292.96,290.65,280.03
116.744,317.4,310.96,305.59,300.77,296.96,292.96,290.65,280.09
118.118,317.09,310.78,305.46,300.77,296.96,292.9,290.59,280.09
