Date,01/02/2020,Material,Brass,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
215.313,336.78,301.59,287.21,283.46,281.84,281.59,281.09,280.46
216.685,336.78,301.59,287.21,283.46,281.9,281.59,281.15,280.46
218.057,336.65,301.65,287.28,283.53,281.9,281.65,281.15,280.46
219.429,336.65,301.77,287.28,283.53,281.9,281.65,281.09,280.4
220.801,336.65,301.9,287.34,283.53,281.9,281.59,281.15,280.4
222.173,336.46,301.9,287.4,283.59,281.96,281.65,281.15,280.46
223.546,336.28,301.9,287.4,283.59,281.96,281.59,281.15,280.4
224.919,335.96,302.02,287.4,283.65,281.9,281.59,281.15,280.4
226.291,335.78,302.02,287.4,283.59,281.96,281.65,281.09,280.4
227.663,335.53,302.09,287.46,283.59,281.96,281.59,281.15,280.4
229.035,335.34,302.15,287.46,283.65,281.96,281.59,281.09,280.4
230.407,335.21,302.21,287.53,283.65,281.96,281.65,281.15,280.46
231.78,335.21,302.21,287.53,283.65,282.03,281.65,281.09,280.46
233.152,335.03,302.21,287.59,283.71,281.96,281.59,281.09,280.46
234.524,334.96,302.27,287.59,283.78,282.03,281.65,281.09,280.46
235.896,334.84,302.34,287.65,283.71,282.03,281.65,281.09,280.46
237.269,334.59,302.34,287.71,283.71,281.96,281.65,281.09,280.4
238.641,334.46,302.46,287.71,283.78,282.03,281.65,281.15,280.46
240.014,334.28,302.46,287.78,283.71,282.03,281.59,281.09,280.46
241.386,334.09,302.46,287.78,283.78,282.03,281.65,281.09,280.46
242.758,333.96,302.52,287.84,283.78,282.03,281.65,281.09,280.46
244.13,333.84,302.52,287.84,283.84,282.09,281.65,281.15,280.4
245.503,333.71,302.59,287.9,283.84,282.03,281.65,281.15,280.46
246.875,333.59,302.59,287.96,283.9,282.09,281.65,281.09,280.46
248.248,333.46,302.71,287.96,283.96,282.09,281.65,281.15,280.46
249.62,333.4,302.71,288.03,283.9,282.09,281.65,281.09,280.46
250.992,333.34,302.77,288.03,283.9,282.09,281.71,281.09,280.4
252.364,333.28,302.77,288.09,283.96,282.09,281.71,281.15,280.4
253.736,333.21,302.84,288.03,283.96,282.09,281.71,281.15,280.4
255.109,333.15,302.84,288.09,283.96,282.15,281.65,281.09,280.46
256.482,333.03,302.84,288.09,283.96,282.09,281.65,281.09,280.46
257.854,332.9,302.9,288.15,283.96,282.15,281.65,281.09,280.46
259.226,332.9,302.9,288.21,284.03,282.15,281.71,281.09,280.4
260.598,332.96,302.9,288.21,284.03,282.15,281.65,281.09,280.46
261.97,333.09,302.96,288.21,284.09,282.21,281.71,281.15,280.46
263.342,333.4,303.02,288.28,284.09,282.21,281.71,281.09,280.4
264.715,333.65,303.02,288.34,284.09,282.15,281.71,281.09,280.4
266.087,333.84,303.02,288.28,284.09,282.21,281.71,281.09,280.4
