Date,21/02/2020,Material,Brass,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
15.111,322.03,304.52,295.96,290.77,288.09,286.65,285.59,283.71
16.485,321.96,304.65,296.02,290.84,288.09,286.65,285.65,283.71
17.859,321.9,304.65,296.09,290.84,288.15,286.71,285.65,283.78
19.232,321.9,304.77,296.15,290.84,288.09,286.65,285.65,283.78
20.606,321.84,304.77,296.21,290.9,288.15,286.65,285.65,283.71
21.979,321.78,304.9,296.27,290.9,288.15,286.65,285.65,283.71
23.354,321.71,304.96,296.27,290.96,288.15,286.71,285.65,283.71
24.727,321.59,305.02,296.34,290.96,288.21,286.71,285.65,283.71
26.101,321.53,305.09,296.4,290.96,288.21,286.71,285.65,283.71
27.474,321.4,305.15,296.46,291.02,288.15,286.71,285.65,283.71
28.848,321.28,305.21,296.52,291.02,288.21,286.71,285.65,283.71
30.222,321.28,305.28,296.52,291.09,288.21,286.71,285.59,283.78
31.596,321.09,305.28,296.59,291.09,288.21,286.78,285.65,283.71
32.97,320.96,305.34,296.65,291.15,288.21,286.71,285.65,283.71
34.343,320.9,305.34,296.71,291.15,288.28,286.78,285.65,283.65
35.717,320.71,305.4,296.71,291.15,288.28,286.78,285.65,283.65
37.091,320.59,305.4,296.77,291.21,288.28,286.78,285.65,283.71
38.465,320.46,305.4,296.84,291.27,288.28,286.78,285.71,283.71
39.838,320.4,305.4,296.9,291.27,288.34,286.78,285.71,283.65
41.212,320.21,305.4,296.9,291.27,288.34,286.78,285.71,283.65
42.586,320.09,305.46,296.96,291.34,288.34,286.78,285.71,283.71
43.96,319.84,305.46,296.96,291.34,288.34,286.84,285.71,283.71
45.334,319.71,305.46,297.09,291.34,288.34,286.84,285.71,283.71
46.707,319.46,305.46,297.09,291.4,288.34,286.84,285.71,283.71
48.081,319.28,305.46,297.09,291.4,288.4,286.84,285.78,283.65
49.455,319.09,305.46,297.09,291.46,288.4,286.84,285.78,283.65
