Date,07/02/2020,Material,Brass,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
413.45,327.15,307.15,297.9,287.15,284.96,284.28,283.46,283.21
414.824,326.65,307.03,297.84,287.09,285.03,284.34,283.4,283.21
416.198,326.15,306.96,297.84,287.09,284.96,284.28,283.46,283.15
417.572,325.65,306.78,297.77,287.09,285.03,284.34,283.46,283.09
418.946,325.15,306.65,297.77,287.09,285.03,284.28,283.46,283.15
420.32,324.78,306.53,297.71,287.09,285.03,284.34,283.46,283.03
421.694,324.28,306.46,297.71,287.09,285.03,284.34,283.53,283.03
423.067,323.9,306.28,297.65,287.03,285.09,284.34,283.46,282.96
424.441,323.4,306.21,297.65,287.03,285.03,284.34,283.53,283.03
425.814,322.84,306.03,297.59,287.03,285.09,284.34,283.53,282.96
427.189,322.34,305.9,297.52,287.03,285.15,284.34,283.53,282.9
428.562,321.84,305.71,297.52,287.03,285.09,284.4,283.53,282.96
429.936,321.4,305.53,297.46,287.03,285.03,284.4,283.53,282.9
431.309,320.9,305.34,297.4,287.03,285.09,284.4,283.53,282.9
432.683,320.4,305.15,297.34,287.03,285.03,284.34,283.53,282.84
434.056,320.03,305.02,297.27,286.96,285.09,284.34,283.59,282.78
435.431,319.59,304.84,297.15,286.96,285.09,284.34,283.59,282.84
436.804,319.03,304.65,297.15,287.03,285.03,284.4,283.59,282.71
438.178,318.46,304.4,297.09,286.96,285.03,284.34,283.59,282.78
439.551,317.96,304.21,297.02,286.96,285.09,284.34,283.53,282.71
440.925,317.59,304.02,296.9,286.96,285.09,284.34,283.59,282.65
442.299,317.15,303.9,296.9,286.96,285.03,284.34,283.59,282.71
443.673,316.78,303.71,296.77,286.96,285.03,284.34,283.59,282.65
445.046,316.28,303.59,296.71,286.9,285.03,284.34,283.59,282.59
446.42,315.84,303.4,296.71,286.9,285.03,284.34,283.59,282.59
447.793,315.4,303.21,296.65,286.96,285.03,284.4,283.59,282.59
449.168,315.03,303.02,296.59,286.96,285.03,284.34,283.53,282.59
450.541,314.65,302.96,296.59,286.96,285.03,284.4,283.59,282.53
451.915,314.21,302.71,296.46,286.96,285.03,284.4,283.53,282.53
453.288,313.84,302.59,296.4,286.96,285.03,284.4,283.59,282.59
454.662,313.53,302.4,296.34,286.96,285.03,284.4,283.53,282.59
456.036,313.09,302.27,296.27,286.9,285.03,284.4,283.59,282.53
457.41,312.71,302.09,296.21,286.96,285.03,284.4,283.65,282.53
458.783,312.4,301.96,296.15,286.96,285.03,284.4,283.59,282.46
460.156,312.03,301.71,296.09,286.96,285.03,284.4,283.59,282.53
461.53,311.71,301.65,295.96,286.9,285.03,284.4,283.59,282.46
462.905,311.4,301.46,296.02,286.96,285.03,284.46,283.65,282.53
464.278,311.03,301.27,295.9,286.9,285.03,284.4,283.59,282.53
465.652,310.59,301.09,295.84,286.96,285.03,284.4,283.59,282.46
467.025,310.28,300.96,295.77,286.96,285.03,284.34,283.59,282.46
468.399,309.96,300.84,295.71,286.9,285.03,284.4,283.65,282.46
469.773,309.65,300.65,295.65,286.9,285.03,284.46,283.59,282.46
471.147,309.28,300.46,295.59,286.9,285.03,284.4,283.65,282.4
472.52,308.9,300.34,295.46,286.9,285.03,284.4,283.59,282.46
473.894,308.59,300.15,295.4,286.9,284.96,284.4,283.65,282.46
475.267,308.28,299.96,295.27,286.9,284.96,284.34,283.59,282.4
476.642,307.9,299.77,295.27,286.84,285.03,284.4,283.65,282.34
478.015,307.65,299.71,295.21,286.84,285.03,284.4,283.65,282.4
479.389,307.34,299.52,295.15,286.84,285.03,284.4,283.65,282.4
480.762,307.09,299.4,295.09,286.84,285.03,284.4,283.65,282.4
482.136,306.84,299.27,294.96,286.78,284.96,284.46,283.65,282.4
483.51,306.59,299.15,294.9,286.78,285.03,284.4,283.71,282.4
484.884,306.34,299.02,294.84,286.84,284.96,284.46,283.71,282.34
486.257,306.09,298.84,294.84,286.78,284.96,284.4,283.65,282.4
487.631,305.78,298.71,294.71,286.71,284.96,284.46,283.71,282.34
489.005,305.53,298.52,294.65,286.78,285.03,284.46,283.65,282.4
490.379,305.28,298.46,294.65,286.78,284.96,284.46,283.71,282.34
491.753,305.02,298.27,294.52,286.71,284.96,284.4,283.71,282.4
493.126,304.77,298.15,294.46,286.65,284.96,284.46,283.65,282.4
494.5,304.52,297.96,294.34,286.71,284.96,284.46,283.71,282.4
495.873,304.27,297.9,294.34,286.65,284.9,284.46,283.71,282.34
497.248,303.96,297.71,294.27,286.65,284.96,284.46,283.71,282.28
498.622,303.71,297.59,294.15,286.65,284.9,284.46,283.71,282.34
499.995,303.52,297.4,294.09,286.59,284.9,284.46,283.71,282.28
501.369,303.27,297.34,294.02,286.59,284.9,284.46,283.71,282.28
502.742,303.09,297.15,293.9,286.53,284.96,284.46,283.71,282.28
504.117,302.84,297.02,293.84,286.59,284.9,284.46,283.71,282.34
505.49,302.59,296.9,293.77,286.53,284.9,284.46,283.71,282.34
506.864,302.4,296.77,293.71,286.46,284.9,284.46,283.71,282.28
508.237,302.09,296.65,293.65,286.53,284.9,284.46,283.71,282.28
509.611,301.96,296.52,293.52,286.46,284.84,284.4,283.71,282.34
510.986,301.77,296.34,293.52,286.4,284.84,284.4,283.71,282.28
512.359,301.59,296.27,293.4,286.46,284.84,284.46,283.71,282.28
513.733,301.34,296.15,293.27,286.4,284.84,284.46,283.71,282.28
515.106,301.21,296.02,293.21,286.4,284.84,284.4,283.78,282.34
516.48,301.02,295.96,293.15,286.34,284.78,284.4,283.71,282.28
517.853,300.77,295.77,293.09,286.34,284.84,284.4,283.78,282.28
519.228,300.65,295.71,293.09,286.28,284.84,284.46,283.78,282.28
520.602,300.4,295.59,293.02,286.34,284.84,284.46,283.71,282.21
521.975,300.15,295.46,292.9,286.28,284.84,284.46,283.71,282.15
523.349,299.96,295.34,292.84,286.21,284.78,284.4,283.71,282.21
524.722,299.84,295.27,292.77,286.28,284.78,284.4,283.71,282.21
526.096,299.59,295.15,292.65,286.21,284.78,284.46,283.78,282.21
527.47,299.34,295.02,292.59,286.21,284.78,284.4,283.78,282.15
528.843,299.15,294.9,292.59,286.15,284.78,284.46,283.71,282.15
530.217,298.96,294.77,292.52,286.15,284.78,284.4,283.71,282.15
531.59,298.84,294.77,292.4,286.15,284.71,284.4,283.71,282.21
532.965,298.65,294.65,292.34,286.09,284.71,284.4,283.65,282.15
534.338,298.46,294.52,292.27,286.09,284.71,284.4,283.71,282.15
535.712,298.27,294.34,292.15,286.09,284.65,284.4,283.71,282.21
537.085,298.09,294.27,292.15,286.09,284.71,284.4,283.65,282.21
538.459,297.96,294.09,292.09,286.03,284.71,284.4,283.71,282.21
539.833,297.84,293.96,291.96,286.03,284.65,284.4,283.71,282.21
541.206,297.59,293.9,291.9,286.03,284.65,284.4,283.71,282.21
542.58,297.46,293.77,291.84,285.96,284.65,284.4,283.71,282.21
543.954,297.27,293.65,291.77,285.96,284.59,284.4,283.71,282.21
545.327,297.09,293.52,291.65,285.9,284.59,284.4,283.71,282.28
546.702,296.9,293.34,291.59,285.9,284.59,284.34,283.78,282.21
548.075,296.77,293.21,291.52,285.84,284.59,284.34,283.71,282.28
549.449,296.59,293.15,291.4,285.84,284.59,284.4,283.78,282.21
550.822,296.46,293.09,291.34,285.84,284.59,284.4,283.71,282.21
