Date,21/02/2020,Material,Brass,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
119.509,298.65,295.34,291.9,288.9,286.71,285.34,284.53,283.09
120.882,298.52,295.27,291.84,288.96,286.71,285.4,284.53,283.09
122.257,298.46,295.21,291.84,288.9,286.65,285.4,284.46,283.09
123.63,298.27,295.15,291.77,288.9,286.71,285.4,284.53,283.03
125.004,298.15,295.09,291.77,288.9,286.65,285.46,284.46,283.03
126.377,298.02,295.02,291.71,288.9,286.71,285.46,284.46,283.09
127.751,297.9,294.96,291.65,288.9,286.71,285.46,284.46,283.03
129.126,297.84,294.9,291.65,288.9,286.65,285.46,284.46,283.09
130.499,297.71,294.84,291.65,288.9,286.71,285.46,284.53,283.03
131.873,297.59,294.84,291.59,288.9,286.71,285.4,284.53,283.03
133.246,297.46,294.77,291.52,288.84,286.71,285.46,284.46,283.03
134.62,297.27,294.65,291.52,288.84,286.65,285.46,284.53,283.09
135.994,297.15,294.59,291.52,288.84,286.71,285.46,284.53,283.09
137.368,297.09,294.52,291.46,288.84,286.71,285.46,284.53,283.09
138.741,296.96,294.46,291.46,288.84,286.78,285.4,284.53,283.03
140.115,296.84,294.4,291.46,288.84,286.71,285.46,284.53,283.03
141.489,296.71,294.34,291.34,288.84,286.71,285.46,284.53,283.03
142.863,296.59,294.27,291.34,288.78,286.71,285.4,284.59,283.03
144.237,296.46,294.21,291.34,288.84,286.71,285.46,284.53,283.03
145.61,296.34,294.15,291.34,288.78,286.71,285.46,284.46,283.09
146.984,296.27,294.09,291.27,288.78,286.71,285.53,284.53,283.09
148.357,296.21,293.96,291.21,288.78,286.71,285.53,284.59,283.03
149.732,296.09,293.96,291.15,288.78,286.71,285.46,284.53,283.03
151.105,295.96,293.9,291.15,288.71,286.78,285.46,284.53,283.09
152.479,295.9,293.84,291.15,288.71,286.78,285.46,284.53,283.03
153.852,295.77,293.77,291.09,288.71,286.71,285.46,284.53,283.03
155.226,295.65,293.65,291.02,288.71,286.65,285.46,284.59,283.03
156.6,295.59,293.65,291.02,288.71,286.71,285.53,284.59,283.03
157.974,295.52,293.59,291.02,288.71,286.71,285.53,284.53,283.03
159.347,295.4,293.52,291.02,288.65,286.71,285.46,284.59,283.03
160.721,295.27,293.4,290.96,288.65,286.71,285.53,284.59,283.03
162.094,295.27,293.4,290.9,288.71,286.71,285.53,284.59,283.03
163.469,295.15,293.34,290.84,288.65,286.65,285.53,284.59,283.03
164.842,295.09,293.27,290.84,288.65,286.71,285.53,284.59,283.03
166.216,294.96,293.27,290.84,288.59,286.71,285.53,284.65,283.03
167.589,294.9,293.15,290.77,288.59,286.71,285.53,284.65,283.03
168.963,294.84,293.09,290.77,288.59,286.71,285.59,284.59,283.03
170.337,294.77,293.09,290.71,288.59,286.71,285.53,284.59,283.03
171.711,294.65,292.96,290.71,288.59,286.71,285.53,284.65,283.09
173.084,294.59,292.9,290.71,288.59,286.71,285.59,284.65,283.09
174.458,294.52,292.84,290.71,288.59,286.71,285.59,284.65,283.03
175.831,294.4,292.84,290.65,288.53,286.71,285.53,284.59,283.03
177.206,294.4,292.84,290.59,288.53,286.71,285.59,284.65,283.09
178.579,294.34,292.77,290.52,288.53,286.78,285.53,284.65,283.09
179.953,294.21,292.71,290.59,288.53,286.71,285.53,284.65,283.03
181.326,294.09,292.65,290.52,288.46,286.71,285.59,284.65,283.09
182.7,294.09,292.59,290.46,288.53,286.71,285.53,284.65,283.09
184.074,294.02,292.59,290.46,288.46,286.71,285.53,284.65,283.03
185.448,293.84,292.52,290.46,288.46,286.71,285.59,284.59,283.09
186.821,293.84,292.46,290.4,288.46,286.71,285.59,284.65,283.09
188.195,293.77,292.4,290.34,288.4,286.71,285.53,284.65,283.03
189.568,293.71,292.34,290.34,288.4,286.71,285.53,284.65,283.09
190.942,293.59,292.27,290.27,288.4,286.78,285.59,284.65,283.03
192.317,293.52,292.21,290.34,288.4,286.71,285.59,284.65,283.09
193.69,293.46,292.21,290.27,288.4,286.71,285.65,284.65,283.03
195.064,293.4,292.15,290.27,288.34,286.65,285.59,284.71,283.09
196.437,293.34,292.15,290.21,288.4,286.71,285.59,284.65,283.03
197.81,293.34,292.02,290.21,288.34,286.65,285.59,284.65,283.03
199.185,293.21,292.02,290.15,288.34,286.71,285.59,284.71,283.03
200.558,293.15,291.96,290.15,288.34,286.65,285.59,284.65,283.03
201.932,293.09,291.9,290.09,288.34,286.71,285.59,284.71,283.03
203.305,293.02,291.84,290.09,288.28,286.71,285.59,284.71,283.03
204.679,292.96,291.77,290.09,288.28,286.65,285.59,284.71,283.09
206.053,292.96,291.77,290.09,288.28,286.65,285.59,284.71,283.03
207.427,292.84,291.65,289.96,288.28,286.71,285.65,284.71,283.03
208.8,292.77,291.65,290.02,288.28,286.71,285.59,284.71,283.03
210.174,292.71,291.59,289.96,288.21,286.71,285.65,284.71,283.03
211.547,292.71,291.59,289.96,288.21,286.65,285.59,284.71,283.03
212.922,292.65,291.52,289.9,288.21,286.65,285.65,284.71,283.03
214.295,292.52,291.46,289.84,288.21,286.65,285.65,284.71,283.03
215.669,292.52,291.4,289.9,288.15,286.71,285.59,284.71,283.03
217.042,292.46,291.34,289.77,288.15,286.65,285.59,284.71,283.03
218.416,292.4,291.4,289.84,288.15,286.71,285.59,284.71,283.03
219.79,292.34,291.27,289.77,288.15,286.65,285.65,284.71,283.03
221.164,292.34,291.27,289.71,288.15,286.65,285.65,284.71,283.03
222.537,292.34,291.21,289.77,288.15,286.65,285.59,284.71,283.03
223.911,292.21,291.21,289.71,288.09,286.65,285.65,284.78,283.03
225.284,292.15,291.15,289.71,288.09,286.65,285.59,284.71,283.09
226.659,292.09,291.15,289.65,288.09,286.65,285.59,284.78,283.09
228.032,292.02,291.09,289.65,288.09,286.65,285.65,284.78,283.03
229.406,292.02,291.02,289.71,288.03,286.65,285.59,284.71,283.09
230.779,291.9,290.96,289.71,288.03,286.59,285.65,284.78,283.03
232.153,291.9,290.9,289.71,288.03,286.65,285.65,284.78,283.03
233.527,291.9,290.9,289.65,288.03,286.59,285.65,284.78,283.09
234.901,291.77,290.84,289.65,288.09,286.65,285.65,284.78,283.09
236.274,291.77,290.84,289.65,288.09,286.59,285.65,284.78,283.09
237.648,291.71,290.77,289.59,288.03,286.65,285.65,284.78,283.03
239.021,291.65,290.71,289.59,288.09,286.65,285.65,284.84,283.03
240.396,291.59,290.71,289.52,288.09,286.59,285.65,284.78,283.03
241.769,291.59,290.65,289.52,288.09,286.59,285.65,284.78,283.09
243.143,291.59,290.65,289.46,288.03,286.53,285.65,284.84,283.09
244.517,291.46,290.65,289.46,288.03,286.59,285.65,284.78,283.09
245.89,291.46,290.59,289.46,288.03,286.59,285.65,284.78,283.03
247.265,291.4,290.52,289.4,288.03,286.59,285.65,284.78,283.09
248.638,291.4,290.52,289.4,288.03,286.59,285.65,284.78,283.09
250.012,291.34,290.52,289.4,287.96,286.59,285.71,284.78,283.03
251.385,291.34,290.46,289.4,288.03,286.53,285.65,284.78,283.03
252.759,291.27,290.4,289.4,288.03,286.53,285.65,284.78,283.09
254.133,291.21,290.34,289.34,287.9,286.59,285.65,284.84,283.09
255.507,291.21,290.34,289.34,287.96,286.59,285.65,284.84,283.09
256.88,291.15,290.34,289.27,287.96,286.59,285.65,284.78,283.03
258.254,291.09,290.27,289.27,287.96,286.53,285.71,284.78,283.03
259.628,291.09,290.27,289.21,287.9,286.53,285.65,284.84,283.09
261.002,291.09,290.21,289.21,287.9,286.59,285.71,284.78,283.09
262.376,291.02,290.21,289.21,287.9,286.53,285.65,284.84,283.03
263.749,290.96,290.09,289.15,287.9,286.53,285.71,284.84,283.09
265.122,290.9,290.09,289.15,287.9,286.53,285.71,284.84,283.09
266.496,290.84,290.02,289.15,287.9,286.53,285.65,284.78,283.03
267.869,290.84,290.02,289.09,287.84,286.53,285.65,284.84,283.09
269.244,290.84,289.96,289.15,287.78,286.53,285.71,284.84,283.09
270.617,290.77,289.96,289.09,287.84,286.53,285.65,284.84,283.03
271.991,290.77,289.96,289.03,287.78,286.53,285.65,284.84,283.09
273.364,290.71,289.84,289.03,287.78,286.53,285.65,284.84,283.09
274.738,290.65,289.9,289.03,287.78,286.53,285.65,284.84,283.09
276.112,290.59,289.84,288.96,287.78,286.46,285.65,284.9,283.03
277.486,290.59,289.77,288.9,287.78,286.46,285.65,284.84,283.03
278.859,290.59,289.71,288.96,287.78,286.4,285.65,284.84,283.03
280.233,290.46,289.71,288.9,287.71,286.46,285.65,284.84,283.09
281.606,290.46,289.71,288.84,287.71,286.46,285.65,284.84,283.09
282.981,290.4,289.65,288.78,287.71,286.46,285.59,284.84,283.03
284.354,290.4,289.65,288.78,287.65,286.46,285.65,284.84,283.09
285.728,290.34,289.59,288.78,287.71,286.4,285.59,284.78,283.09
287.101,290.34,289.59,288.78,287.65,286.4,285.59,284.84,283.09
288.475,290.27,289.59,288.78,287.65,286.4,285.59,284.84,283.09
289.85,290.21,289.46,288.78,287.59,286.46,285.59,284.84,283.09
291.223,290.15,289.52,288.71,287.59,286.34,285.65,284.84,283.09
292.597,290.09,289.46,288.65,287.59,286.4,285.65,284.84,283.09
293.97,290.09,289.4,288.65,287.59,286.34,285.65,284.84,283.09
295.344,290.02,289.4,288.59,287.53,286.4,285.65,284.9,283.03
296.718,290.02,289.34,288.59,287.59,286.4,285.59,284.84,283.09
298.092,290.02,289.34,288.59,287.53,286.4,285.59,284.84,283.15
299.465,289.96,289.21,288.53,287.53,286.4,285.59,284.84,283.09
300.839,289.84,289.27,288.53,287.53,286.34,285.65,284.84,283.09
302.212,289.84,289.21,288.46,287.46,286.34,285.59,284.9,283.09
303.587,289.77,289.21,288.46,287.46,286.34,285.65,284.9,283.09
304.96,289.77,289.15,288.46,287.46,286.34,285.59,284.84,283.09
306.334,289.84,289.09,288.46,287.46,286.34,285.59,284.9,283.09
307.707,289.84,289.09,288.46,287.4,286.34,285.59,284.9,283.09
309.081,289.77,289.03,288.34,287.4,286.34,285.59,284.84,283.03
310.455,289.77,289.03,288.34,287.4,286.28,285.59,284.9,283.03
311.829,289.65,289.03,288.34,287.34,286.34,285.59,284.9,283.09
313.202,289.65,288.96,288.34,287.4,286.21,285.59,284.9,283.09
314.576,289.59,288.96,288.28,287.34,286.28,285.53,284.84,283.09
315.949,289.59,288.9,288.28,287.4,286.28,285.59,284.84,283.09
317.324,289.52,288.9,288.21,287.34,286.28,285.53,284.84,283.09
318.697,289.52,288.9,288.28,287.34,286.21,285.59,284.9,283.09
320.071,289.46,288.78,288.21,287.28,286.21,285.59,284.9,283.09
321.444,289.4,288.78,288.21,287.28,286.28,285.59,284.84,283.09
322.818,289.4,288.78,288.15,287.28,286.21,285.53,284.84,283.09
324.192,289.34,288.71,288.09,287.28,286.21,285.59,284.84,283.09
325.566,289.27,288.71,288.15,287.21,286.21,285.53,284.84,283.03
326.939,289.27,288.71,288.09,287.21,286.21,285.53,284.84,283.03
328.312,289.21,288.65,288.09,287.21,286.21,285.59,284.84,283.09
329.686,289.21,288.65,288.09,287.21,286.21,285.46,284.84,283.03
331.059,289.15,288.59,288.03,287.15,286.15,285.59,284.9,283.09
332.433,289.09,288.53,287.96,287.15,286.21,285.46,284.9,283.09
333.807,289.09,288.53,288.03,287.15,286.15,285.53,284.84,283.09
335.18,289.03,288.46,287.96,287.15,286.15,285.46,284.9,283.09
336.553,289.03,288.53,287.96,287.15,286.09,285.53,284.84,283.03
337.927,288.96,288.46,287.9,287.09,286.15,285.53,284.84,283.09
339.301,288.96,288.4,287.9,287.09,286.15,285.53,284.84,283.03
