Date,01/02/2020,Material,Brass,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
0,349.84,302.52,290.65,288.15,285.96,285.4,284.84,284.71
1.375,349.84,302.65,290.65,288.21,285.96,285.4,284.9,284.65
2.749,349.59,302.65,290.65,288.21,285.96,285.4,284.9,284.71
4.123,349.21,302.71,290.65,288.28,285.96,285.4,284.9,284.71
5.497,348.96,302.77,290.65,288.21,286.03,285.34,284.84,284.71
6.871,348.52,302.77,290.71,288.28,285.96,285.4,284.84,284.71
8.246,348.21,302.84,290.65,288.28,286.03,285.34,284.84,284.71
9.619,347.9,302.9,290.71,288.34,286.03,285.4,284.9,284.71
10.993,347.52,302.96,290.71,288.34,286.03,285.4,284.84,284.71
12.367,347.21,303.02,290.71,288.34,286.03,285.34,284.84,284.78
13.741,346.59,303.15,290.71,288.4,286.03,285.4,284.84,284.78
15.116,346.21,303.21,290.77,288.4,286.09,285.4,284.84,284.71
16.49,345.84,303.21,290.77,288.34,286.09,285.34,284.84,284.71
17.864,345.46,303.27,290.84,288.4,286.03,285.34,284.84,284.71
19.238,345.15,303.4,290.77,288.4,286.09,285.34,284.84,284.65
20.613,344.65,303.46,290.84,288.46,286.15,285.34,284.84,284.71
21.987,344.21,303.52,290.84,288.53,286.15,285.4,284.84,284.71
23.361,343.77,303.59,290.84,288.53,286.15,285.4,284.84,284.71
24.735,343.27,303.65,290.84,288.59,286.09,285.4,284.84,284.71
26.109,342.59,303.71,290.77,288.59,286.09,285.4,284.84,284.71
27.484,341.96,303.71,290.77,288.59,286.15,285.4,284.9,284.71
28.858,341.34,303.77,290.84,288.59,286.15,285.34,284.84,284.71
30.232,340.52,303.77,290.84,288.59,286.15,285.4,284.84,284.71
31.605,339.65,303.71,290.77,288.53,286.09,285.34,284.84,284.65
32.979,338.65,303.65,290.77,288.59,286.09,285.34,284.84,284.65
34.354,337.77,303.59,290.77,288.59,286.09,285.34,284.84,284.65
35.728,336.78,303.59,290.77,288.53,286.09,285.34,284.84,284.65
37.102,336.03,303.52,290.77,288.59,286.09,285.34,284.84,284.65
38.476,335.15,303.46,290.77,288.59,286.09,285.34,284.84,284.65
39.85,334.46,303.46,290.77,288.59,286.09,285.34,284.84,284.65
41.225,333.9,303.46,290.77,288.59,286.15,285.34,284.84,284.59
42.599,333.15,303.46,290.71,288.65,286.15,285.34,284.78,284.65
43.973,332.53,303.4,290.71,288.71,286.09,285.34,284.78,284.59
45.347,331.78,303.4,290.71,288.71,286.15,285.34,284.84,284.65
46.721,331.09,303.34,290.71,288.71,286.15,285.34,284.84,284.65
48.096,330.4,303.27,290.71,288.71,286.15,285.34,284.78,284.65
49.47,329.78,303.27,290.65,288.71,286.15,285.34,284.84,284.65
50.844,329.09,303.21,290.71,288.71,286.15,285.4,284.84,284.59
52.218,328.46,303.09,290.71,288.78,286.15,285.4,284.84,284.59
53.591,327.65,302.96,290.65,288.78,286.15,285.28,284.84,284.59
54.966,326.96,302.84,290.65,288.78,286.15,285.34,284.78,284.59
56.34,326.15,302.77,290.65,288.78,286.15,285.34,284.84,284.59
57.714,325.53,302.65,290.65,288.78,286.15,285.28,284.84,284.65
59.088,324.84,302.52,290.65,288.78,286.21,285.34,284.84,284.59
60.463,324.28,302.52,290.59,288.78,286.15,285.34,284.78,284.59
61.837,323.65,302.4,290.65,288.84,286.21,285.28,284.78,284.59
63.211,323.09,302.34,290.59,288.84,286.21,285.28,284.78,284.59
64.585,322.59,302.27,290.65,288.84,286.21,285.34,284.84,284.59
65.959,322.09,302.21,290.65,288.9,286.28,285.34,284.78,284.65
67.334,321.53,302.09,290.65,288.96,286.28,285.28,284.84,284.59
68.708,321.15,302.02,290.59,288.96,286.28,285.28,284.84,284.59
70.082,320.59,301.96,290.59,288.96,286.28,285.34,284.84,284.59
71.455,320.21,301.9,290.59,288.96,286.21,285.34,284.84,284.59
72.829,319.65,301.84,290.59,288.96,286.28,285.34,284.78,284.59
74.204,319.21,301.65,290.52,289.03,286.28,285.34,284.84,284.53
75.578,318.53,301.65,290.52,289.03,286.28,285.28,284.78,284.53
76.952,318.03,301.52,290.52,288.96,286.28,285.28,284.84,284.53
78.326,317.4,301.4,290.46,289.03,286.28,285.34,284.84,284.53
79.7,316.96,301.27,290.52,289.03,286.28,285.28,284.78,284.53
81.075,316.4,301.15,290.52,289.03,286.34,285.34,284.84,284.59
82.449,315.84,301.02,290.52,289.03,286.34,285.34,284.78,284.53
83.823,315.46,300.9,290.52,289.03,286.34,285.28,284.84,284.53
85.197,314.9,300.77,290.52,289.09,286.4,285.34,284.78,284.53
86.571,314.46,300.71,290.52,289.09,286.34,285.34,284.78,284.53
87.946,313.9,300.52,290.46,289.09,286.34,285.28,284.84,284.46
89.32,313.28,300.34,290.4,289.03,286.34,285.28,284.84,284.53
90.694,312.71,300.15,290.4,289.03,286.34,285.34,284.84,284.46
92.068,312.15,299.96,290.34,289.03,286.34,285.28,284.78,284.46
93.442,311.65,299.77,290.34,289.03,286.34,285.28,284.84,284.46
94.817,311.15,299.59,290.21,289.03,286.34,285.28,284.84,284.46
96.191,310.78,299.46,290.27,288.96,286.34,285.28,284.78,284.46
97.565,310.21,299.27,290.15,288.96,286.34,285.28,284.84,284.46
98.939,309.71,299.15,290.15,288.96,286.34,285.28,284.84,284.46
100.314,309.03,298.9,290.09,288.9,286.34,285.28,284.78,284.46
101.688,308.53,298.71,290.02,288.9,286.34,285.28,284.78,284.46
103.062,307.96,298.4,290.02,288.84,286.28,285.28,284.78,284.53
104.436,307.34,298.27,289.96,288.84,286.28,285.21,284.78,284.46
105.81,306.84,298.02,289.84,288.78,286.28,285.28,284.78,284.46
107.185,306.28,297.84,289.84,288.71,286.34,285.28,284.78,284.46
108.559,305.84,297.65,289.77,288.78,286.34,285.28,284.84,284.46
109.933,305.34,297.46,289.71,288.71,286.28,285.28,284.78,284.4
111.307,304.9,297.34,289.71,288.71,286.34,285.28,284.78,284.46
112.681,304.59,297.15,289.65,288.65,286.28,285.28,284.84,284.53
114.056,304.15,297.02,289.71,288.71,286.28,285.28,284.78,284.46
115.43,303.9,296.9,289.71,288.65,286.34,285.28,284.84,284.53
116.804,303.59,296.84,289.71,288.65,286.34,285.28,284.84,284.46
118.178,303.27,296.71,289.71,288.71,286.34,285.34,284.84,284.46
119.552,303.09,296.65,289.65,288.71,286.34,285.28,284.78,284.4
