time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,4.23E-05
0,309.59,300.27,294.77,290.02,287.9,286.34,285.46,,
1.37,305.348272,297.2772078,292.2936946,288.8852634,287.1175011,285.890538,285.4027762,,
2.75,304.7404728,297.1855535,292.1997787,288.8604955,287.0856071,285.8795161,285.4151566,,
4.12,303.897303,297.2468124,292.2198435,288.8991316,287.0927705,285.8961767,285.4155436,,
5.49,302.8625928,297.3377219,292.2727424,288.9551875,287.1112095,285.9212117,285.3928861,,
6.87,301.765225,297.41303,292.3369111,289.0152291,287.1339988,285.9474794,285.3505959,,
8.24,300.7024705,297.4518008,292.4047135,289.0745704,287.1589684,285.9714457,285.2964555,,
9.61,299.7028922,297.4476022,292.4738939,289.1328277,287.1857288,285.9919091,285.2361378,,
10.99,298.7725465,297.3999867,292.5430332,289.1904011,287.2141769,286.0084771,285.1732136,,
12.36,297.9258581,297.3135176,292.6092994,289.2466161,287.2435939,286.020934,285.1111181,,
13.73,297.1516147,297.1935119,292.671468,289.3020376,287.2738699,286.0297315,285.0508704,,
15.11,296.4387483,297.044694,292.7284101,289.3571337,287.304935,286.0353578,284.9928716,,
16.48,295.7909863,296.8748461,292.7780787,289.4110904,287.3360729,286.0382375,284.9383634,,
17.85,295.1966149,296.6879665,292.8200325,289.464213,287.3672827,286.0389156,284.8870635,,
19.23,294.6460202,296.4868378,292.8539359,289.5167147,287.3986062,286.0378319,284.8386325,,
20.6,294.1419815,296.2779768,292.8790335,289.5676232,287.4294409,286.0354054,284.7936855,,
21.97,293.6757826,296.0629144,292.8955771,289.6170849,287.4598963,286.0319795,284.7517265,,
23.35,293.2403842,295.8424402,292.9037569,289.6651939,287.4900947,286.0278141,284.7123231,,
24.72,292.8385782,295.62169,292.9037547,289.7110085,287.5195209,286.0232148,284.6758799,,
26.09,292.4640341,295.4006158,292.8960555,289.7546568,287.5483303,286.0183539,284.6419356,,
27.47,292.1116053,295.1788343,292.880983,289.7962279,287.5766691,286.0133583,284.6101071,,
28.84,291.7840385,294.9605206,292.8592527,289.8349436,287.6040754,286.0084317,284.5807018,,
30.21,291.4766299,294.7448041,292.8312912,289.8709702,287.6307102,286.0036411,284.5533368,,
31.59,291.1855137,294.5307139,292.7973428,289.9044275,287.6567147,285.9990336,284.5276982,,
32.96,290.9132905,294.3217831,292.7584021,289.9347483,287.6816702,285.9947359,284.5040319,,
34.33,290.6563597,294.1167625,292.7147246,289.9621321,287.7057288,285.9907562,284.482029,,
35.71,290.4117276,293.9144248,292.6664037,289.9867192,287.729019,285.9870978,284.4614378,,
37.08,290.1818007,293.7178538,292.6145738,290.0081498,287.7511685,285.98383,284.4424561,,
38.45,289.9637434,293.5256596,292.5593038,290.02663,287.7723183,285.9809314,284.4248361,,
39.83,289.7551733,293.3365331,292.5005327,290.0422975,287.7925829,285.9783828,284.4083762,,
41.2,289.5582901,293.1532233,292.4394617,290.0549756,287.8116434,285.9762119,284.3932336,,
42.57,289.3708056,292.9743219,292.3759958,290.0648507,287.829629,285.9743846,284.3792088,,
43.95,289.1907781,292.7985265,292.3099432,290.0720377,287.8466409,285.9728718,284.3661399,,
45.32,289.0202078,292.6283222,292.2425319,290.0765138,287.8624182,285.9716728,284.3541491,,
