time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,4.4754622211629996e-05
0.0,318.29487828674445,307.43270962183294,300.99739285432236,294.9099951627744,291.6197855968425,289.62552633344245,288.03
1.37,314.06685866102583,304.97020088434095,298.64962930335287,293.645203676715,290.85501086144814,289.0056372070069,288.036734439922
2.75,313.2877979296259,304.8668258989215,298.5184514379781,293.6035945723695,290.82339229931466,288.97861127055853,288.065945204272
4.12,312.12309802278344,304.9262124222613,298.5292910277252,293.66025589709585,290.845065175866,288.99775230905476,288.07420141730057
5.49,310.70224149494584,305.00496723651725,298.5772539482643,293.7417938075051,290.88033507460125,289.02989491482316,288.04268786242017
6.87,309.2125865953728,305.0519395385019,298.63772980821597,293.82811168126693,290.9201529737503,289.0639714708293,287.9786336212107
8.24,307.78352815163527,305.0446649699911,298.70268555625154,293.91237264356425,290.9619571285526,289.0947153854965,287.8955095186685
9.61,306.44900205902974,304.9772700730455,298.7692759292362,293.99399018087,291.0055476058435,289.1202703040411,287.80279287217246
10.99,305.21354318744613,304.85103849115865,298.8352378659769,294.0735177399008,291.05091232115393,289.1400419792809,287.7062786301939
12.36,304.0936386511223,304.674692529898,298.8969048268527,294.15006818537296,291.0969741966606,289.1538400265791,287.61133760564394
13.73,303.07253685559743,304.4560237994582,298.9522662582754,294.2244760270717,291.1436026787585,289.16236637787495,287.5195390395932
15.11,302.13437327268275,304.2016341361465,298.99953738514074,294.29739972917014,291.1907020490144,289.1663694138621,287.4314742937071
16.48,301.28316583309726,303.9230615550003,299.03644677535726,294.3677853084361,291.23720358920724,289.1665786253486,287.34899118236655
17.85,300.50290347215935,303.6253250201634,299.0623239833475,294.43604847194985,291.28313106973974,289.1637870316584,287.27161739483364
19.23,299.7805618811481,303.31176479323983,299.0766655177672,294.50244614846133,291.3285578386506,289.15862416788275,287.1988016010824
20.6,299.1195120007789,302.99157660161626,299.0791028710847,294.5657365626835,291.37262922713455,289.1517527377877,287.1314289127925
21.97,298.5081384037125,302.66625489537654,299.0699411483041,294.6261006122571,291.41552859740415,289.14363685764584,287.06871667372764
23.34,297.94108057927883,302.33876474171257,299.0495739792454,294.6832247945751,291.45714155257724,289.13468628961783,287.01039715029765
24.72,297.40996453533927,302.0090587298456,299.01829548535886,294.73718935819704,291.4976672245954,289.1251656622472,286.95581196426974
26.09,296.91841057072776,301.68374721919616,298.97722776839686,294.7869444306796,291.5364460209946,289.11548387269255,286.9054766371099
27.46,296.4588995387416,301.36184141001337,298.9269078714511,294.8326684797472,291.57371679994804,289.1057866017555,286.858717506673
28.84,296.0253015448966,301.04211177329864,298.8676286864349,294.8744677612252,291.6096825184511,289.09617090203557,286.8149798964776
30.21,295.6211788377839,300.72999686287585,298.80100619419864,294.91160118335756,291.64377552950856,289.08690269515444,286.77466276277784
31.59,295.2382152577218,300.4215347595483,298.7268143732241,294.94452020033043,291.6764511796524,289.0779403440768,286.73695670251783
32.96,294.87984961015263,300.1216127552521,298.6468380356715,294.97270064907156,291.7071978284435,289.06947825508183,286.70220526678264
34.33,294.5413648205075,299.8282522809299,298.56123209732397,294.9963891232181,291.73622420668187,289.06149080679324,286.6699381451452
35.7,294.22111030509245,299.54162508103605,298.4706226453252,295.015611439988,291.76350007238636,289.05399948891824,286.63998221819935
37.08,293.9154577561286,299.25980131276106,298.3748833645791,295.0305149884054,291.78917885559787,289.0469607330962,286.61198153688196
38.45,293.62751383970345,298.9868864238983,298.2759429229995,295.04096465840325,291.81286659150715,289.04046911788623,286.58619198308054
39.83,293.3518772588721,298.71886483151496,298.1728590994909,295.0472158030407,291.8348918136437,289.0344117040835,286.5620962710335
41.2,293.0914762048482,298.4595494014315,298.06758098651625,295.0492965861808,291.8549230809243,289.0288498774192,286.5399136556401
42.57,292.8433068196416,298.20687133683407,297.9597859253264,295.04739891517323,291.87311940066024,289.0237052676952,286.5193422385164
43.95,292.60481593838983,297.95893244653314,297.8490397361523,295.0416085602955,291.8895910847866,289.0189066857976,286.50013504804195
45.32,292.3786715601323,297.7191830180698,297.7372899627122,295.0321590402619,291.9041019014307,289.0144821005045,286.4824637830961
46.69,292.1623929685041,297.48564824704283,297.624049670056,295.0191758368532,291.916785043557,289.0103515908431,286.4660842482644
48.07,291.95385238577796,297.25652646991176,297.508758215917,295.0026839815892,291.92772473460514,289.0064422863549,286.45079589713185
49.44,291.7554762698133,297.0349687771561,297.3933393604886,294.98308106816773,291.9367782286362,289.00276449910416,286.4367311542704
50.81,291.5651787470571,296.8191214898344,297.2771881630667,294.96041704237206,291.94405097472554,288.99924292969337,286.4236912609015
52.19,291.38115596312326,296.6072968753622,297.15965521213593,294.9346508007654,291.949599918164,288.99580735252465,286.4115120276231
53.56,291.20561570368267,296.40239169975877,297.0426280381799,294.9063100781087,291.9533710883488,288.9924626121754,286.4002945278886
54.93,291.0367773301495,296.2026805421322,296.92542085995586,294.87536871775876,291.9554402298953,288.9891401042504,286.3898761185215
56.31,290.87308945482357,296.00659251124506,296.8073253126433,294.84172059917694,291.9558358627629,288.9857734964998,286.38012129290337
57.68,290.71656439162115,295.8168038300785,296.69018541938993,294.80599624566764,291.954586326761,288.9823713921969,286.37110721083167
59.050000000000004,290.5656624118466,295.63171460443345,296.5732630102872,294.76809795770714,291.95173629741475,288.9788715591126,286.3627000942172
60.43,290.4190328959533,295.4498666446302,296.45581338738515,294.7278594803291,291.9472852440267,288.9752110379288,286.35478712409224
61.800000000000004,290.27851448409,295.27374230413824,296.33963275088274,294.68599215950667,291.9413365517636,288.9714089910307,286.347428317651
