time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6
0,349.84,302.52,290.65,288.15,285.96,285.4,284.84
1.38,329.0794717,297.9448739,289.7003169,287.2369625,285.7417866,285.1662744,284.8542345
2.75,325.0263131,299.4888712,290.0820363,287.2803964,285.8036555,285.1775147,284.8848715
4.12,320.3228601,301.0187551,290.5741533,287.3705304,285.8736224,285.1997424,284.9090711
5.5,315.8980311,302.0324203,291.1322644,287.4924969,285.9413348,285.2267026,284.9284553
6.87,312.1229201,302.5183553,291.7120986,287.6441908,286.0080103,285.256411,284.9453696
8.25,308.9423625,302.6012196,292.2765184,287.8262349,286.0776037,285.288387,284.9616074
9.62,306.3155368,302.4018873,292.7824094,288.0315421,286.1515529,285.3217657,284.9777257
10.99,304.1207492,302.0199317,293.2144155,288.2544506,286.2320669,285.356752,284.9942372
12.37,302.2611892,301.5226217,293.567816,288.4886839,286.3207333,285.393836,285.0114787
13.74,300.6950456,300.9667061,293.838914,288.7230102,286.4163853,285.4328061,285.0293388
15.12,299.344801,300.3776628,294.0379373,288.9540095,286.5198322,285.4745701,285.0481988
16.49,298.1877589,299.7858639,294.1704248,289.1730024,286.6284678,285.5187954,285.0679056
17.86,297.1805314,299.2010307,294.2470555,289.3778664,286.7415886,285.5659383,285.0887134
19.24,296.2912332,298.6277548,294.2765775,289.5674123,286.8584699,285.6164102,285.1109024
20.61,295.5121561,298.0795247,294.2665513,289.7374885,286.9758215,285.6693853,285.1342488
21.99,294.8153093,297.5511858,294.2239533,289.8900328,287.0938385,285.7254248,285.1591651
23.36,294.1975281,297.0516607,294.1554926,290.0229366,287.2094643,285.7834122,285.1853271
24.73,293.6427452,296.5772828,294.0661193,290.1379269,287.3224065,285.8433734,285.2129093
26.11,293.1386945,296.1244679,293.9593452,290.2365125,287.4324959,285.9053474,285.2420892
27.48,292.6853711,295.6989821,293.8403621,290.3183127,287.5373745,285.967997,285.2723689
28.86,292.2700121,295.29357,293.7104891,290.3856828,287.637986,286.0317902,285.3040823
30.23,291.8935351,294.9129462,293.5741106,290.4388356,287.732452,286.0953718,285.3366364
31.61,291.5460962,294.5503282,293.4313171,290.479743,287.8218686,286.159258,285.3703505
32.98,291.229074,294.2097518,293.28587,290.508962,287.9047784,286.2221451,285.4045669
34.35,290.9367366,293.8873288,293.138128,290.5279222,287.9817873,286.2841562,285.4393496
35.73,290.6645182,293.579747,292.9881249,290.5376874,288.0534092,286.3454263,285.4747749
37.1,290.4140472,293.2903702,292.838952,290.539075,288.1186861,286.4047997,285.5101475
38.48,290.1796378,293.0139311,292.6891802,290.5329989,288.1787017,286.4629105,285.5458041
39.85,289.9629364,292.7534673,292.541576,290.5203591,288.2327533,286.5187221,285.581057
41.23,289.7592322,292.5042622,292.3944643,290.5017195,288.2818266,286.5728866,285.616258
42.6,289.5701312,292.2690841,292.250353,290.4780239,288.3254243,286.6244894,285.6507467
43.97,289.3929266,292.045301,292.1084612,290.4497643,288.3641463,286.6738298,285.6846422
45.35,289.2253967,291.830671,291.9680046,290.4172403,288.3984569,286.7211667,285.7180597
46.72,289.0690361,291.6276287,291.831188,290.3814207,288.4280952,286.7657611,285.7504031
48.1,288.9207223,291.4325772,291.6961383,290.3422348,288.4537317,286.8082312,285.7820454
49.47,288.7818616,291.2477624,291.5648975,290.3006528,288.4752271,286.8479464,285.8124426
50.84,288.6506849,291.0712017,291.4365301,290.2567603,288.4930078,286.8852241,285.8417554
52.22,288.5257161,290.9011936,291.310159,290.2105376,288.5073845,286.9203236,285.8701248
53.59,288.4082265,290.7397381,291.1876226,290.1629444,288.5183614,286.9527616,285.8970902
54.97,288.296009,290.5840434,291.0671221,290.1135474,288.5263046,286.9830471,285.9230061
56.34,288.1902485,290.435966,290.9503802,290.0632941,288.5312937,287.0107846,285.9474681
57.71,288.0897122,290.2939835,290.8364785,290.0120369,288.533582,287.0362518,285.9706485
59.09,287.9933566,290.1567781,290.724573,289.9595763,288.5333343,287.0596657,285.9926905
60.46,287.9022461,290.0260162,290.6162353,289.906837,288.5307216,287.0807471,286.01327
61.84,287.8147443,289.8994859,290.5098273,289.8531966,288.5258655,287.0998679,286.0326894
63.21,287.731842,289.7787411,290.4068316,289.7995626,288.5189861,287.1168173,286.0506751
64.58,287.6526371,289.6625871,290.3064049,289.7456627,288.5101963,287.1318091,286.0673854
65.96,287.5763568,289.5499808,290.2077772,289.6912039,288.499545,287.1450013,286.0829458
67.33,287.5038917,289.4423262,290.1123118,289.6370662,288.4873119,287.156273,286.0971521
68.71,287.433984,289.3378363,290.0185477,289.5825404,288.4734374,287.1658598,286.1102366
70.08,287.3674642,289.2378256,289.9277768,289.528488,288.4582335,287.1736934,286.1220371
71.45,287.3036469,289.1413371,289.8392448,289.4745757,288.4417087,287.1799189,286.1326824
72.83,287.2419387,289.0475282,289.7522633,289.4204673,288.4238265,287.1846339,286.1422694
74.2,287.1830889,288.9575938,289.6680276,289.3669952,288.4049381,287.1878382,286.1506924
75.58,287.1261027,288.8700646,289.5852431,289.3134219,288.384855,287.1896462,286.1581092
76.95,287.071681,288.7860636,289.5050466,289.2605607,288.3639493,287.1900973,286.1644477
78.33,287.0189121,288.7042265,289.4262049,289.2076726,288.3419929,287.1892629,286.1698365
