time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6
0,309.21,298.21,291.84,287.96,285.65,284.78,284.15
1.37,304.3029366,295.585062,290.2378538,287.0092194,285.29979,284.5196703,284.1650808
2.75,302.7950902,295.7813847,290.3544946,287.0948837,285.358874,284.5417054,284.188707
4.12,300.9126185,295.971887,290.5226726,287.2142248,285.4318063,284.5748132,284.1909726
5.49,299.1058797,296.0164439,290.6951089,287.3363524,285.5057551,284.6088176,284.181154
6.87,297.5090552,295.9090517,290.8606559,287.4597348,285.5808647,284.6420004,284.1676222
8.24,296.1563913,295.6845115,291.0054464,287.5820677,285.6560052,284.6736209,284.1548842
9.62,294.9997666,295.3778719,291.1229956,287.7040372,285.7320984,284.7045159,284.1445952
10.99,294.0214446,295.0250488,291.2073635,287.8221293,285.8078181,284.7347666,284.1375125
12.36,293.1814474,294.6470115,291.2589481,287.9352003,285.8834443,284.765078,284.1336108
13.74,292.4493747,294.2567453,291.2796526,288.0420426,285.9591816,284.7960404,284.1327278
15.11,291.815403,293.870422,291.2723799,288.1394848,286.0335123,284.8274465,284.1346284
16.48,291.257785,293.4918893,291.2411069,288.2271684,286.1065115,284.8596441,284.1390331
17.86,290.7603999,293.1225887,291.1891487,288.3049179,286.1781902,284.8929054,284.1457453
19.23,290.3202656,292.7702064,291.1208034,288.3713154,286.2470149,284.9266957,284.1544302
20.6,289.9254319,292.4331796,291.0389247,288.4270078,286.3130592,284.9611382,284.1649093
21.98,289.5668442,292.1096251,290.9455603,288.4725843,286.3763748,284.9963283,284.1770705
23.35,289.2442904,291.8041472,290.8444365,288.5078616,286.4357181,285.0315629,284.1905417
24.73,288.9485627,291.5118883,290.7360996,288.533955,286.4917013,285.0671437,284.20533
26.1,288.6802468,291.236504,290.6237935,288.5511487,286.5433351,285.1023378,284.2210399
27.47,288.4340208,290.9751406,290.5081347,288.5603541,286.5909297,285.1371894,284.2376002
28.85,288.2056984,290.7253041,290.3893956,288.5622519,286.6347378,285.1717423,284.2549707
30.22,287.9963701,290.4898656,290.2702365,288.5574954,286.6741268,285.2053043,284.2727367
31.59,287.8024291,290.2662301,290.1505657,288.5467723,286.7094743,285.2379554,284.2908668
32.97,287.6209871,290.0521708,290.0301311,288.5305594,286.7410754,285.2697683,284.3093486
34.34,287.4532649,289.8501022,289.9111806,288.5096666,286.7685808,285.3001473,284.3277749
35.71,287.2966828,289.6577858,289.7932406,288.4845241,286.7923627,285.3292136,284.3461501
37.09,287.1491437,289.473307,289.6757838,288.4553946,286.8127001,285.3570693,284.3644871
38.46,287.0118485,289.2987642,289.5607646,288.4231474,286.8294544,285.3832344,284.3824107
39.84,286.8819597,289.1310671,289.4467012,288.3877228,286.8430342,285.408031,284.4000823
41.21,286.7606299,288.9721458,289.3353955,288.3500031,286.8534087,285.4310565,284.4171573
42.58,286.6462451,288.8202934,289.2261239,288.3100734,286.8608536,285.4524673,284.4336874
43.96,286.5374659,288.6740431,289.1181906,288.267921,286.8655577,285.4723853,284.4497182
45.33,286.4353536,288.5351122,289.0132125,288.2244274,286.867615,285.4905167,284.4649588
46.7,286.3386386,288.402046,288.9104312,288.1795357,286.8672269,285.5070166,284.4794782
48.08,286.2462562,288.273588,288.8091346,288.1331225,286.8645176,285.5220008,284.493333
49.45,286.1591714,288.1512773,288.7107909,288.0860556,286.859674,285.5352729,284.5062894
50.82,286.0763612,288.0338654,288.6146463,288.0381765,286.8528246,285.5469741,284.518425
52.2,285.9969598,287.9202683,288.5200023,287.9892837,286.8440334,285.5572049,284.5298003
53.57,285.9218399,287.8118729,288.4282023,287.9402252,286.833556,285.5658536,284.5402378
54.95,285.8496496,287.706853,288.3378717,287.8904098,286.8213623,285.573087,284.5498826
56.32,285.7812044,287.6065054,288.2502809,287.8406698,286.8077443,285.5788431,284.5585928
57.69,285.7157597,287.5098458,288.1647258,287.790743,286.7927277,285.5832247,284.566444
59.07,285.6526763,287.4160119,288.0805589,287.7403505,286.7762912,285.5862957,284.5734903
60.44,285.5926914,287.3261807,287.9989535,287.6902999,286.7587699,285.5880598,284.5796395
61.81,285.5351762,287.2394896,287.9192447,287.6402939,286.7401402,285.5885924,284.5849587
63.19,285.4795872,287.1551792,287.8408223,287.590029,286.7203403,285.5879335,284.5894931
64.56,285.4265921,287.0743216,287.7647738,287.5402867,286.699738,285.586142,284.5931948
65.94,285.3752884,286.9955947,287.6899392,287.4903881,286.6781091,285.5832412,284.5961375
67.31,285.3263017,286.9200077,287.6173542,287.4410975,286.6558384,285.579322,284.5983
