time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6
37.09,291.437798,294.8824383,294.2613149,291.5039346,288.7074452,286.7401209,285.6381488
38.46,291.1465865,294.5468837,294.0900176,291.5057752,288.7774047,286.7981831,285.6692953
39.84,290.8741246,294.2264218,293.9177746,291.4985666,288.841295,286.8552683,285.7012565
41.21,290.6223174,293.9245453,293.7477913,291.4834072,288.8983855,286.9102774,285.733335
42.59,290.3856811,293.6357641,293.57816,291.4609889,288.9497394,286.963784,285.7657754
43.96,290.1660705,293.3632672,293.4117908,291.4324561,288.9948626,287.0148259,285.7979006
45.33,289.9603305,293.1039894,293.2478012,291.398408,289.0344121,287.0636491,285.8297561
46.71,289.7658717,292.8553206,293.085298,291.3592089,289.0688903,287.1104681,285.8613965
48.08,289.5844187,292.6200717,292.9268459,291.3160293,289.0980728,287.1545171,285.892207
49.45,289.4135489,292.3956666,292.7714113,291.2691401,289.1225013,287.1960828,285.9222807
50.83,289.2512539,292.1799015,292.6180037,291.218648,289.1425743,287.2354027,285.951706
52.2,289.0991049,291.9752737,292.4689193,291.1657208,289.1582647,287.2718879,285.9799509
53.58,288.9541723,291.7782071,292.3220248,291.10998,289.1700599,287.3060696,286.0073368
54.95,288.8179245,291.5910169,292.1794664,291.0525829,289.1780351,287.3374656,286.0333911
56.32,288.6887149,291.411745,292.0401651,290.9934445,289.182525,287.3663584,286.058255
57.7,288.5651573,291.238701,291.9031202,290.9323951,289.1837511,287.3929682,286.0820471
59.07,288.4485736,291.0739608,291.770285,290.8705687,289.1819107,287.4169545,286.104385
60.44,288.337622,290.9158446,291.6406115,290.8077488,289.1772268,287.4385715,286.1254188
61.82,288.2311635,290.7628947,291.5131355,290.7436653,289.1698286,287.4580103,286.1452697
63.19,288.1303867,290.6169801,291.3896458,290.6794232,289.1600058,287.4750526,286.1636411
64.56,288.0341798,290.4766482,291.2691441,290.6147169,289.1478856,287.4899146,286.1806801
65.94,287.9415916,290.3406315,291.1507157,290.5492091,289.133518,287.5027517,286.1965017
67.31,287.8536919,290.2106194,291.0360065,290.4839729,289.1172641,287.5134503,286.2108878
68.69,287.7689448,290.084448,290.9232692,290.4181666,289.0990318,287.522241,286.224065
70.06,287.6883482,289.9636997,290.8140644,290.352841,289.0792208,287.5290711,286.2358629
71.43,287.6110633,289.8472143,290.7074919,290.2876045,289.0578317,287.5340859,286.2464064
72.81,287.536365,289.733971,290.6027284,290.2220584,289.0348113,287.5373775,286.2557865
74.18,287.4651543,289.625409,290.5012188,290.157219,289.0106052,287.5389725,286.263898
75.56,287.3962221,289.5197519,290.4014079,290.0921989,288.9849663,287.5389685,286.2708924
76.93,287.3304116,289.418353,290.3046708,290.0279919,288.9583646,287.537438,286.2767027
78.3,287.2670697,289.3202672,290.2102055,289.9641701,288.9307109,287.5344577,286.2814196
79.68,287.2056255,289.2246567,290.1172778,289.9003115,288.9018791,287.5300599,286.2851029
81.05,287.1468446,289.1327591,290.0271673,289.8373752,288.8723685,287.5243767,286.2877367
82.42,287.0901571,289.0437318,289.939127,289.7749263,288.8420494,287.5174471,286.2893896
83.8,287.0350628,288.9568242,289.8524726,289.7125396,288.8107639,287.509272,286.2901016
85.17,286.9822584,288.8731721,289.7683976,289.6511408,288.7790326,287.5000325,286.2899007
86.55,286.9308769,288.7914362,289.6856134,289.5898519,288.7464557,287.4896552,286.2888227
87.92,286.8815741,288.7126909,289.6052611,289.5295767,288.7135646,287.4783492,286.286921
89.29,286.8338883,288.6362312,289.5266774,289.4698817,288.6801803,287.4660996,286.2842283
90.67,286.7874104,288.5614249,289.4492525,289.4103479,288.6461063,287.4528619,286.2807534
92.04,286.7427406,288.4892629,289.3740554,289.3518465,288.611885,287.4388807,286.2765827
93.42,286.6991571,288.4186026,289.299936,289.2935303,288.5770631,287.4240034,286.2716914
94.79,286.6572268,288.3503845,289.2279189,289.2362491,288.5421881,287.4084945,286.2661847
96.16,286.6165679,288.2840105,289.1574132,289.1795818,288.507049,287.3922957,286.2600634
97.54,286.5768399,288.2189407,289.087874,289.1231236,288.4714244,287.3753265,286.2533091
98.91,286.5385642,288.1560469,289.0202645,289.0676939,288.435866,287.3578763,286.2460515
100.28,286.5013977,288.094784,288.9540325,289.0128814,288.4001494,287.3398655,286.2382744
101.66,286.4650326,288.034658,288.8886675,288.958292,288.3640436,287.3211965,286.2299456
103.03,286.4299505,287.976479,288.8250767,288.9047152,288.3281011,287.3021778,286.2212147
104.41,286.3955954,287.9193393,288.7622927,288.8513667,288.2918247,287.2825685,286.2119824
105.78,286.3624246,287.8640117,288.7011881,288.7990168,288.2557659,287.2626875,286.2024093
107.16,286.3299147,287.8096355,288.6408344,288.7468978,288.2194225,287.2422778,286.1923819
108.53,286.2985003,287.7569487,288.5820718,288.6957613,288.1833438,287.221667,286.1820705
109.9,286.2679081,287.7055051,288.5244253,288.6452233,288.1472874,287.2007385,286.1714274
111.28,286.2378907,287.6548972,288.4674542,288.5949168,288.1110102,287.1793648,286.1603946
112.65,286.2088518,287.6058151,288.411953,288.545566,288.0750564,287.1578831,286.1491539
114.03,286.1803377,287.5575008,288.3570814,288.4964455,288.0389187,287.1360062,286.1375627
115.4,286.1527335,287.5106151,288.3036059,288.4482617,288.0031369,287.1140757,286.125809
116.77,286.1258031,287.4647666,288.2510977,288.4006512,287.9674638,287.0919576,286.1138292
118.15,286.0993319,287.4195959,288.1991572,288.3532671,287.9316543,287.0695107,286.1015519
119.52,286.0736793,287.3757234,288.1485115,288.3067903,287.8962407,287.0470816,286.0891727
120.9,286.0484475,287.3324758,288.0983962,288.2605365,287.8607182,287.0243633,286.0765279
122.27,286.0239801,287.2904485,288.0495139,288.21517,287.8256131,287.0017043,286.0638169
123.64,286.0000716,287.2492951,288.0014752,288.1703478,287.7906779,286.9789583,286.0509639
125.02,285.9765332,287.2086961,287.9539165,288.1257426,287.7556695,286.9559756,286.0378883
126.39,285.9536873,287.1692126,287.9075057,288.0819947,287.7211043,286.9331057,286.0247935
127.77,285.931182,287.1302417,287.8615445,288.0384594,287.6864863,286.9100303,286.0115017
129.14,285.9093262,287.0923233,287.8166791,287.9957617,287.6523251,286.8870983,285.9982182
130.51,285.8879384,287.0551484,287.7725547,287.9535779,287.6183762,286.8641564,285.9848588
131.89,285.866852,287.0184306,287.7288387,287.9115999,287.584401,286.8410501,285.9713367
133.26,285.8463574,286.98268,287.6861468,287.87043,287.550898,286.8181266,285.9578586
134.64,285.8261409,286.9473537,287.6438385,287.829461,287.5173839,286.7950629,285.9442381
136.01,285.8064817,286.9129433,287.6025104,287.7892808,287.4843495,286.7722043,285.9306824
137.38,285.7872188,286.8791711,287.5618375,287.7495848,287.4515557,286.7493938,285.9171019
138.76,285.7682031,286.845779,287.5215145,287.7100827,287.4187704,286.7264751,285.9034062
140.13,285.7496982,286.813233,287.4821109,287.6713411,287.3864724,286.7037894,285.8898018
141.51,285.7314224,286.7810409,287.443037,287.6327886,287.3541939,286.6810144,285.8760981
142.88,285.7136294,286.7496527,287.404845,287.5949782,287.3224059,286.6584881,285.862501
144.26,285.6960487,286.7185942,287.366964,287.5573523,287.2906471,286.6358892,285.848819
145.63,285.6789252,286.6883005,287.3299298,287.5204505,287.2593804,286.6135523,285.835257
147,285.6621203,286.65853,287.2934534,287.483993,287.228377,286.59132,285.8217218
148.38,285.6455057,286.629057,287.2572623,287.447713,287.1974153,286.5690372,285.808121
149.75,285.6293131,286.6002953,287.2218694,287.4121309,287.1669458,286.5470328,285.794657
151.13,285.6132975,286.5718118,287.1867465,287.3767219,287.136525,286.5249908,285.7811385
152.5,285.5976828,286.544007,287.1523915,287.3419937,287.1065952,286.5032357,285.7677662
153.88,285.582233,286.5164627,287.1182923,287.3074343,287.0767202,286.4814547,285.7543495
155.25,285.5671644,286.4895668,287.0849325,287.2735391,287.0473339,286.4599677,285.7410872
156.62,285.5523568,286.4631067,287.0520535,287.2400512,287.0182194,286.4386204,285.7278857
158,285.537698,286.4368835,287.0194106,287.2067256,286.9891674,286.4172621,285.714653
159.37,285.5233936,286.4112668,286.9874677,287.1740402,286.9605993,286.3962059,285.7015846
160.75,285.5092282,286.3858726,286.9557491,287.1415129,286.9320979,286.3751474,285.6884928
162.12,285.495401,286.3610593,286.9247058,287.1096103,286.9040764,286.3543947,285.6755704
163.49,285.4818023,286.3366322,286.8940977,287.0780904,286.8763267,286.3337972,285.6627251
