time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6
0,326.09,306.96,296.65,290.96,287.71,286.15,285.09
1.37,317.5762799,302.7282558,294.3114872,289.6233992,287.0727129,285.7130199,285.115321
2.75,315.0837598,303.1137821,294.5258255,289.7451412,287.1443334,285.7536615,285.1542685
4.12,311.9935339,303.4925554,294.8220527,289.914714,287.23892,285.811491,285.1564159
5.5,309.0145542,303.6236218,295.1273127,290.0926798,287.3381649,285.8684917,285.1376876
6.87,306.4251612,303.4977257,295.4167538,290.2735571,287.4397194,285.9207875,285.1128351
8.24,304.2187366,303.1727621,295.6735465,290.4575389,287.5439267,285.9689306,285.0889398
9.62,302.3357735,302.7083254,295.884914,290.6437641,287.6510821,286.0143726,285.0688664
10.99,300.7462061,302.1638375,296.0407504,290.8262332,287.7591183,286.0577505,285.0538936
12.36,299.384016,301.574765,296.1418443,291.0025658,287.8682467,286.1005159,285.0439498
13.74,298.199071,300.9631756,296.191475,291.1703909,287.9786109,286.1438317,285.0387437
15.11,297.1747616,300.3556081,296.194247,291.3243219,288.0878365,286.187656,285.0379573
16.48,296.2753511,299.7589118,296.156875,291.4634693,288.1958645,286.2326495,285.041126
17.86,295.4743849,299.1758584,296.0849633,291.5873219,288.302564,286.2793091,285.0479213
19.23,294.7666809,298.6189238,295.9854353,291.6934423,288.4055086,286.3269542,285.057883
20.61,294.1283203,298.0820719,295.862164,291.7833166,288.5053811,286.3761502,285.0708196
21.98,293.5576778,297.5738764,295.7215349,291.8560202,288.6000231,286.4259637,285.0862325
23.35,293.0410575,297.0903249,295.5666419,291.9129527,288.6895862,286.4764652,285.103912
24.73,292.5679294,296.627599,295.3995437,291.9552619,288.7742015,286.5277063,285.1237262
26.1,292.1390955,296.1915321,295.2254398,291.9833571,288.852303,286.5786046,285.145113
27.47,291.7459347,295.7776363,295.0454471,291.9986743,288.9243018,286.6291909,285.1679428
28.85,291.381675,295.3819808,294.8601034,292.0022895,288.990534,286.679498,285.1921355
30.22,291.0479807,295.0091241,294.673657,291.995228,289.0500068,286.7284861,285.217088
31.6,290.7368663,294.652444,294.4846745,291.9784333,289.1036303,286.7765826,285.2429189
32.97,290.4501934,294.3159743,294.2969319,291.9531304,289.1507294,286.8228354,285.2690216
34.34,290.1833496,293.9959823,294.1098962,291.9201438,289.1918648,286.8673757,285.2953627
35.72,289.9326076,293.6892731,293.9228888,291.8800058,289.2274601,286.9103163,285.3219295
37.09,289.699872,293.3993186,293.7391575,291.8340817,289.2572144,286.9508743,285.3481455
38.46,289.4817578,293.1229346,293.5577633,291.782817,289.2816393,286.9892374,285.3740287
39.84,289.2754913,292.8573938,293.3777417,291.7264367,289.3011034,287.0255574,285.3996032
41.21,289.0828852,292.60575,293.2019557,291.6663505,289.3155786,287.0592298,285.4243545
42.59,288.9000745,292.3635828,293.0280318,291.6022224,289.3255353,287.0906908,285.4485148
43.96,288.7287811,292.1337147,292.8586286,291.5354652,289.331085,287.1194502,285.4716217
45.33,288.5668182,291.9137162,292.6925689,291.4660592,289.3325666,287.1457294,285.4937565
46.71,288.4123593,291.7014923,292.5287374,291.3938627,289.3301943,287.1696933,285.5149866
48.08,288.2669773,291.499568,292.3695395,291.3202728,289.3242411,287.1910092,285.5349352
49.45,288.1289269,291.3058637,292.2137827,291.2450863,289.3149323,287.2098863,285.5537038
50.83,287.9967357,291.1185767,292.0603559,291.1680202,289.3023857,287.2264729,285.5713713
52.2,287.8718298,290.9399792,291.9114553,291.0904422,289.2869942,287.2405744,285.5876478
53.58,287.7519371,290.7670486,291.764867,291.0114461,289.2687364,287.2524502,285.6027469
54.95,287.6383912,290.6019085,291.6226659,290.9323764,289.2480678,287.2619874,285.6164348
56.32,287.5299367,290.4429265,291.4837204,290.8528399,289.2250458,287.2693438,285.6288188
57.7,287.425499,290.2886749,291.3469881,290.7724101,289.199649,287.2746175,285.6399758
59.07,287.3262844,290.1410792,291.2143827,290.6923927,289.1724071,287.2778026,285.6497508
60.45,287.2305595,289.9976921,291.0838964,290.6117451,289.1430765,287.2790192,285.6582995
61.82,287.1394529,289.8603211,290.9573468,290.5317462,289.1122258,287.2783239,285.6655155
63.19,287.0520193,289.7276569,290.8337026,290.451908,289.0797834,287.2758073,285.6714873
64.57,286.9674397,289.5985441,290.7120167,290.3717359,289.0456229,287.2715068,285.6762706
65.94,286.8867372,289.474632,290.5939767,290.2924674,289.0103587,287.2655603,285.6798248
67.31,286.8091006,289.3547621,290.4786151,290.2135864,288.9738599,287.2580172,285.6822202
68.69,286.7338221,289.237907,290.3650435,290.1345797,288.9359525,287.2488794,285.6834952
70.06,286.6618319,289.125577,290.2548335,290.0566431,288.8972845,287.2383523,285.6836666
71.44,286.5919285,289.015958,290.1463024,289.9786834,288.8573848,287.2263547,285.6827737
72.81,286.5249861,288.9104767,290.0409514,289.9018686,288.8169186,287.2131305,285.680867
74.18,286.4603607,288.8081745,289.9379151,289.8256646,288.7756809,287.1986659,285.6779818
75.56,286.3974847,288.7081946,289.8363978,289.7495503,288.7334391,287.182909,285.6741251
76.93,286.3371571,288.6118506,289.7378039,289.6746529,288.6908768,287.166153,285.6693918
78.31,286.2783912,288.5176069,289.6406281,289.5998996,288.6474404,287.1482171,285.6637519
79.68,286.2219408,288.4267085,289.5462156,289.5263909,288.6038223,287.1294221,285.6573258
81.05,286.1672815,288.3383493,289.4537934,289.4535964,288.559768,287.1097005,285.6501136
82.42,286.1143278,288.2524221,289.3633021,289.3815275,288.5153323,287.0891091,285.6421529
83.8,286.0626307,288.1682236,289.2740443,289.3096754,288.4702389,287.0675434,285.6334149
85.17,286.0128634,288.0868776,289.1872575,289.2390884,288.4251896,287.0453689,285.6240625
86.55,285.9642275,288.0071042,289.1016201,289.1687411,288.3795725,287.0223134,285.6139954
87.92,285.9173608,287.9299729,289.018321,289.0996567,288.3340913,286.99876,285.6033941
89.3,285.8715155,287.8542747,288.9360928,289.0308287,288.2881221,286.9744124,285.5921383
90.67,285.8272964,287.7810288,288.8560786,288.9632554,288.2423683,286.9496686,285.580424
92.04,285.7843108,287.709606,288.7776294,288.8964349,288.1965321,286.9243973,285.5682034
93.42,285.7422051,287.6394341,288.7001439,288.8298863,288.1503107,286.8984498,285.5554132
94.79,285.7015396,287.5714633,288.6247011,288.7645718,288.1044047,286.872242,285.5422685
96.17,285.6616729,287.5046373,288.5501569,288.699535,288.0581726,286.8454294,285.5286068
97.54,285.6231379,287.4398641,288.4775506,288.6357147,288.0123113,286.8184367,285.514654
98.92,285.5853296,287.3761401,288.4057824,288.5721749,287.9661763,286.7909048,285.5002336
100.29,285.5487556,287.3143342,288.3358544,288.5098315,287.9204597,286.7632656,285.4855805
101.66,285.5131008,287.2539273,288.2672051,288.4482164,287.8748485,286.7353519,285.4706162
103.04,285.4780786,287.1944437,288.1993118,288.386882,287.8290315,286.7069871,285.4552521
104.41,285.4441624,287.1366983,288.1331244,288.3267113,287.7836916,286.6786107,285.4397338
105.79,285.4108244,287.0798024,288.0676434,288.2668195,287.7381847,286.6498358,285.423857
107.16,285.3785168,287.0245375,288.003786,288.2080682,287.693187,286.6211052,285.4078728
108.53,285.346966,286.9704458,287.9410431,288.1500141,287.6483832,286.5922352,285.391687
109.91,285.3159219,286.9171058,287.8789393,288.0922342,287.6034628,286.563037,285.3751985
111.28,285.285808,286.8652531,287.8183462,288.035559,287.55909,286.5339557,285.3586648
112.66,285.256159,286.8140944,287.7583514,287.9791538,287.5146296,286.5045879,285.3418622
114.03,285.2273806,286.7643368,287.6997981,287.9238289,287.4707373,286.475379,285.3250508
115.4,285.1992328,286.7155733,287.6422224,287.8691659,287.4271005,286.4461351,285.3081253
116.78,285.171495,286.6674272,287.5851899,287.8147657,287.3834133,286.4166601,285.2909761
118.15,285.1445483,286.6205662,287.5295036,287.7614095,287.3403178,286.3873979,285.2738662
119.53,285.1179794,286.5742772,287.4743273,287.7083108,287.2971934,286.3579374,285.2565597
120.9,285.0921542,286.5292035,287.4204385,287.6562319,287.2546726,286.3287205,285.2393203
122.28,285.0666774,286.4846605,287.3670291,287.6044051,287.2121417,286.299335,285.221909
123.65,285.041901,286.4412684,287.3148524,287.5535741,287.1702235,286.2702199,285.2045898
125.02,285.017622,286.3986773,287.2634985,287.5033539,287.1286145,286.2411747,285.1872476
126.4,284.9936527,286.3565617,287.2125822,287.4533774,287.0870197,286.2119999,285.1697664
127.77,284.9703252,286.3155096,287.162823,287.4043616,287.0460467,286.1831295,285.1524094
129.15,284.9472845,286.2749002,287.1134762,287.3555838,287.0051018,286.1541526,285.1349328
130.52,284.9248505,286.2353013,287.0652397,287.3077436,286.9647822,286.1254988,285.1175987
131.9,284.9026824,286.1961152,287.0173925,287.2601358,286.9245027,286.0967591,285.1001627
133.27,284.8810887,286.1578906,286.9706116,287.2134431,286.8848503,286.0683587,285.0828853
134.64,284.8598952,286.120323,286.9245322,287.1673118,286.8455344,286.0400968,285.0656475
136.02,284.8389397,286.0831279,286.8788104,287.1214042,286.8062742,286.0117761,285.0483312
137.39,284.8185147,286.0468273,286.8340941,287.0763789,286.7676406,285.9838142,285.0311938
138.77,284.7983113,286.0108751,286.7897161,287.031572,286.7290713,285.9558093,285.0139916
140.14,284.7786118,285.9757767,286.746306,286.987626,286.6911266,285.9281735,284.9969796
141.51,284.7592588,285.9412545,286.7035264,286.9442078,286.6535271,285.9007088,284.9800385
142.89,284.7401052,285.9070482,286.6610592,286.9009998,286.6160027,285.8732218,284.9630506
144.26,284.7214193,285.8736398,286.6195071,286.8586216,286.579098,285.8461157,284.9462669
145.64,284.7029197,285.840528,286.5782514,286.8164484,286.5422745,285.8189994,284.929447
147.01,284.6848659,285.8081797,286.5378783,286.7750849,286.5060662,285.7922698,284.9128389
148.38,284.6671147,285.7763407,286.4980754,286.7342177,286.4702048,285.7657336,284.8963242
149.76,284.649532,285.7447721,286.4585471,286.6935476,286.4344321,285.7392026,284.8797871
151.13,284.632365,285.7139199,286.4198558,286.653658,286.3992661,285.7130645,284.8634707
152.51,284.6153559,285.6833223,286.381426,286.6139606,286.3641929,285.6869405,284.8471399
153.88,284.5987442,285.6534121,286.3438045,286.5750249,286.3297199,285.6612119,284.8310345
155.25,284.5823989,285.6239554,286.3067012,286.5365556,286.295591,285.6356908,284.8150382
156.63,284.5661972,285.594732,286.2698414,286.4982713,286.2615596,285.6101954,284.7990382
158,284.5503677,285.5661558,286.23375,286.4607212,286.2281178,285.585097,284.7832684
159.38,284.5346732,285.5378002,286.1978909,286.4233513,286.1947761,285.5600307,284.7675008
160.75,284.5193353,285.5100669,286.1627752,286.3866978,286.1620162,285.5353613,284.7519659
162.13,284.5041245,285.4825423,286.1278816,286.3502202,286.1293584,285.5107298,284.7364386
163.5,284.4892559,285.4556167,286.0937075,286.3144415,286.0972744,285.4864942,284.7211455
164.88,284.4745071,285.4288888,286.0597458,286.2788343,286.0652939,285.4623016,284.7058647
166.25,284.4600869,285.4027379,286.0264809,286.2439091,286.0338788,285.4385033,284.6908191
167.62,284.4458827,285.3769613,285.9936574,286.2094015,286.0027941,285.4149236,284.6758984
169,284.4317885,285.3513675,285.9610332,286.1750588,285.9718146,285.3913931,284.6609963
170.37,284.418004,285.32632,285.9290736,286.1413737,285.9413873,285.3682532,284.6463294
171.75,284.4043236,285.3014462,285.8973051,286.1078495,285.9110658,285.345166,284.6316846
173.12,284.3909413,285.2770997,285.866181,286.0749671,285.8812874,285.3224662,284.6172745
174.49,284.3777531,285.2530925,285.8354631,286.0424772,285.851829,285.2999855,284.6029933
175.87,284.3646608,285.2292465,285.8049249,286.0101423,285.8224768,285.2775618,284.5887384
177.24,284.3518504,285.2059011,285.7750026,285.9784261,285.7936539,285.2555199,284.5747167
178.62,284.3391311,285.1827095,285.745253,285.946861,285.7649371,285.2335374,284.560724
179.99,284.3266836,285.1600018,285.7161012,285.9158998,285.7367403,285.2119324,284.546963
181.37,284.3143227,285.1374408,285.6871155,285.8850859,285.7086494,285.1903888,284.5332329
182.74,284.302224,285.1153479,285.6587103,285.8548614,285.681069,285.169218,284.5197328
184.11,284.2902942,285.0935531,285.6306685,285.8249972,285.6537919,285.1482624,284.5063626
185.49,284.2784446,285.0718953,285.6027837,285.795275,285.62662,285.1273705,284.493026
186.86,284.2668441,285.0506834,285.5754546,285.766121,285.5999443,285.106844,284.4799161
188.24,284.2553201,285.0296025,285.5482769,285.7371055,285.573373,285.0863824,284.4668412
189.61,284.2440368,285.0089535,285.5216392,285.7086447,285.5472886,285.066281,284.4539905
190.98,284.2329072,284.9885778,285.4953384,285.6805229,285.5214948,285.0463896,284.4412684
192.36,284.2218491,284.9683251,285.4691809,285.6525345,285.495804,285.0265643,284.428583
193.73,284.2110199,284.9484844,285.4435412,285.6250809,285.4705859,285.0070911,284.4161177
195.11,284.2002589,284.9287616,285.41804,285.5977575,285.4454697,284.9876845,284.40369
196.48,284.1897196,284.9094384,285.3930422,285.5709562,285.4208168,284.9686243,284.3914794
197.85,284.179321,284.8903668,285.3683573,285.5444739,285.3964416,284.9497678,284.3793949
199.23,284.1689863,284.8714062,285.3438041,285.518117,285.3721665,284.9309783,284.367349
200.6,284.1588628,284.8528275,285.3197338,285.4922636,285.3483408,284.9125266,284.3555156
201.98,284.1488006,284.8343555,285.2957909,285.4665325,285.3246139,284.8941419,284.3437213
203.35,284.1389432,284.8162542,285.272318,285.441293,285.3013271,284.8760892,284.3321363
204.72,284.1292151,284.7983852,285.2491365,285.4163536,285.2783049,284.858233,284.3206738
206.1,284.1195445,284.780617,285.2260761,285.3915322,285.2553795,284.8404436,284.3092509
207.47,284.1100695,284.7632036,285.2034672,285.3671848,285.2328806,284.8229773,284.2980322
208.85,284.1006498,284.7458874,285.1809756,285.3429524,285.210477,284.8055775,284.2868532
210.22,284.0914199,284.7289158,285.1589236,285.3191828,285.1884909,284.7884949,284.275875
211.6,284.0822431,284.7120379,285.1369852,285.2955254,285.1665987,284.7714783,284.2649365
212.97,284.0732505,284.695495,285.1154748,285.2723196,285.145115,284.7547729,284.2541954
214.34,284.0643734,284.679161,285.0942288,285.2493898,285.1238779,284.738253,284.2435711
215.72,284.0555465,284.6629157,285.0730914,285.2265681,285.1027324,284.7217985,284.2329864
217.09,284.0468959,284.6469916,285.0523654,285.2041822,285.0819824,284.7056462,284.2225939
218.47,284.0382936,284.6311532,285.0317447,285.1819018,285.0613225,284.6895586,284.2122408
219.84,284.0298627,284.6156273,285.0115248,285.1600466,285.0410495,284.6737672,284.2020762
221.21,284.0215387,284.6002954,284.9915519,285.1384513,285.0210104,284.6581532,284.1920239
222.59,284.0132604,284.585045,284.9716798,285.1169577,285.001059,284.6426029,284.1820107
223.96,284.0051463,284.5700943,284.9521932,285.0958743,284.9814819,284.6273399,284.1721807
225.34,283.9970763,284.5552225,284.9328043,285.0748903,284.961991,284.6121399,284.1623896
226.71,283.9891659,284.5406425,284.9137911,285.0543067,284.9428662,284.5972214,284.1527782
228.09,283.9812982,284.5261387,284.8948729,285.0338201,284.9238258,284.5823649,284.1432052
229.46,283.9735857,284.5119189,284.8763208,285.0137245,284.9051436,284.5677842,284.1338084
230.83,283.9659697,284.4978749,284.857994,284.9938675,284.8866782,284.5533693,284.124517
232.21,283.9583942,284.4839036,284.8397582,284.974104,284.8682948,284.5390152,284.1152635
