time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,2.66E-05
0,375.65,306.28,290.15,288.09,286.15,288.15,289.21,,
1.38,348.622419,298.7085433,288.6546648,286.8208954,286.4663694,286.7057169,284.8418264,,
2.75,345.4102278,298.2319157,288.6056429,286.7517029,286.5565719,286.5759614,284.8619087,,
4.12,343.3786995,298.4374106,288.6666682,286.7393127,286.5964972,286.5105397,284.9035113,,
5.5,341.2337589,299.0121891,288.7941811,286.7527754,286.6200177,286.4584947,284.9546003,,
6.87,338.9134054,299.7623682,288.9568599,286.7810153,286.633707,286.4125321,285.0056067,,
8.25,336.4776221,300.577859,289.1410097,286.8185339,286.6411052,286.370398,285.0532702,,
9.62,334.0561299,301.3750967,289.3376246,286.8617033,286.6443191,286.3323143,285.0955377,,
11,331.6789039,302.1242792,289.5477288,286.9095741,286.6449679,286.2974957,285.1328454,,
12.37,329.4184466,302.7926226,289.7678019,286.9606729,286.6441313,286.2662023,285.1649721,,
13.75,327.2614346,303.3798472,290.0004743,287.0153652,286.6425651,286.2377036,285.1928952,,
15.12,325.2467599,303.8750258,290.2412276,287.0726989,286.640828,286.2121347,285.2167537,,
16.5,323.3454339,304.2876157,290.4918381,287.1334733,286.6392835,286.1888514,285.2374207,,
17.87,321.5812266,304.616557,290.746543,287.1968348,286.6382377,286.1679427,285.2550669,,
19.25,319.9222364,304.8730817,291.0066984,287.2637612,286.6378927,286.1488775,285.2703667,,
20.62,318.3852969,305.0604647,291.266161,287.3333294,286.6384223,286.1317339,285.2834548,,
21.99,316.9504032,305.1878753,291.5245453,287.4060337,286.639956,286.1161952,285.2947531,,
23.37,315.6005653,305.2625039,291.7816237,287.4824184,286.6426294,286.1020148,285.3045855,,
24.74,314.3480425,305.2897285,292.0318233,287.5613078,286.6464982,286.0892695,285.313029,,
26.12,313.167591,305.2759583,292.2771982,287.6437329,286.6517002,286.0776624,285.3203952,,
27.49,312.0699024,305.2268023,292.5128767,287.728331,286.6582283,286.0672682,285.3267354,,
28.87,311.0329726,305.1464546,292.7412311,287.8161237,286.6662359,286.0578553,285.3322784,,
30.24,310.0663956,305.0404199,292.9581326,287.9055903,286.6756542,286.0494937,285.337059,,
31.62,309.151045,304.9110371,293.1661379,287.9977574,286.6866579,286.0420051,285.3412471,,
32.99,308.2956563,304.7635802,293.3618185,288.0909913,286.6991143,286.0354517,285.3448675,,
34.36,307.4892908,304.6001605,293.5464723,288.1856436,286.7131142,286.0297379,285.3480268,,
35.74,306.7228164,304.4220524,293.7212161,288.2821011,286.728783,286.0247995,285.3508085,,
37.11,306.0039215,304.2341334,293.8835252,288.3786486,286.7458902,286.0206824,285.35323,,
38.49,305.3189673,304.0356852,294.0358751,288.4763801,286.764672,286.0173053,285.355378,,
39.86,304.6750438,303.8313322,294.1762417,288.5735768,286.7848334,286.0147004,285.3572673,,
41.23,304.0644787,303.6211795,294.3060143,288.6706575,286.8064739,286.0128267,285.3589554,,
42.61,303.4808033,303.404962,294.4263216,288.7680534,286.8297276,286.0116674,285.3604899,,
43.98,302.9303189,303.1869615,294.5357528,288.8640963,286.8542106,286.0112299,285.3618828,,
45.36,302.4029964,302.9649998,294.6362689,288.9599482,286.8802262,286.0115,285.363186,,
46.73,301.9046705,302.7431542,294.7267918,289.0540012,286.9073379,286.0124667,285.3644095,,
