time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,9.74E-05
0,349.84,302.52,290.65,288.15,285.96,285.4,284.84,,
1.38,328.6288823,298.1131732,289.7412238,287.2372552,285.7484188,285.1663183,284.85888,,
2.75,323.9505364,299.9843065,290.2188209,287.3034863,285.8244268,285.1834106,284.8928963,,
4.12,318.76723,301.5538652,290.8115697,287.4198432,285.9034172,285.2110694,284.9184064,,
5.5,314.0929996,302.4295363,291.4735213,287.5776725,285.9802751,285.2438913,284.9391191,,
6.87,310.2243811,302.7030304,292.1318049,287.7737462,286.0581613,285.2795857,284.957824,,
8.25,307.039082,302.5588696,292.7365764,288.0058895,286.1422421,285.3177959,284.9763708,,
9.62,304.4556176,302.1520123,293.2442355,288.2612012,286.2341362,285.3578262,284.995216,,
10.99,302.3283762,301.592113,293.6468806,288.5294748,286.3358985,285.4002482,285.0148426,,
12.37,300.5476845,300.9475595,293.9482172,288.8011204,286.4484971,285.4458983,285.0356196,,
13.74,299.063029,300.2749342,294.1535161,289.0624451,286.5692619,285.4946112,285.0574311,,
15.12,297.7939149,299.5940769,294.2786901,289.3099117,286.6980893,285.5474652,285.0807827,,
16.49,296.7143078,298.9325328,294.3352012,289.53509,286.8308243,285.6038526,285.1055178,,
17.86,295.7803805,298.2954507,294.3365558,289.7370873,286.9659807,285.6640758,285.131959,,
19.24,294.9603293,297.6838817,294.2931745,289.9159614,287.1022504,285.7283395,285.1604364,,
20.61,294.2453932,297.1090859,294.2150128,290.0691383,287.2356023,285.7952688,285.1905982,,
21.99,293.6086641,296.563215,294.1087871,290.1996825,287.3662314,285.8652709,285.2228801,,
23.36,293.046349,296.0535924,293.9824364,290.3070315,287.4908508,285.936695,285.2567448,,
24.73,292.5431179,295.5749074,293.8404603,290.3938269,287.6093647,286.0093778,285.2922897,,
26.11,292.0873394,295.1223956,293.6858951,290.4622463,287.7217994,286.0831977,285.3296098,,
27.48,291.6786029,294.7008512,293.5243687,290.5130847,287.8260174,286.1564537,285.3679424,,
28.86,291.3050784,294.3022912,293.3562596,290.5488466,287.923246,286.2296266,285.4075936,,
30.23,290.9673371,293.9307056,293.1861624,290.5706744,288.011961,286.3011314,285.4477206,,
31.61,290.6563417,293.5789358,293.0133214,290.5804523,288.0934825,286.3715472,285.4886307,,
32.98,290.3731606,293.2504548,292.8415902,290.5794662,288.1667615,286.4394587,285.5294568,,
34.35,290.1125316,292.9411221,292.6707702,290.5691229,288.2326288,286.5050534,285.5702296,,
35.73,289.8702775,292.6474662,292.5004519,290.55043,288.2917571,286.568512,285.6109924,,
37.1,289.6477541,292.3724355,292.3337356,290.524717,288.3436009,286.6287001,285.6509205,,
38.48,289.4398315,292.1107984,292.1686713,290.492565,288.3892573,286.6863305,285.6903813,,
39.85,289.2479041,291.8652391,292.0080075,290.4552841,288.4284157,286.740449,285.728612,,
41.23,289.0677432,291.6311453,291.8496586,290.4130878,288.4620076,286.7917657,285.766001,,
42.6,288.9007217,291.4109762,291.6960979,290.3672527,288.4899011,286.8394921,285.8018614,,
43.97,288.7444052,291.2021373,291.5462794,290.3180738,288.5127064,286.8839972,285.8363466,,
45.35,288.596801,291.002437,291.3992155,290.2656788,288.5308749,286.9255809,285.8695913,,
46.72,288.459195,290.8140476,291.257062,290.2112853,288.544469,286.9636723,285.9010324,,
48.1,288.3288125,290.6335497,291.117736,290.1545068,288.5540014,286.9988776,285.9310661,,
49.47,288.2068664,290.46295,290.9832244,290.0965208,288.55963,287.0307508,285.9592118,,
50.84,288.0917813,290.3003508,290.852452,290.0372324,288.561717,287.0596339,285.9856634,,
52.22,287.9822453,290.1441332,290.724438,289.9764699,288.5605049,287.0857909,286.0105795,,
53.59,287.8793567,289.9960854,290.6009593,289.9153534,288.5562598,287.1089355,286.0335955,,
54.97,287.7811684,289.8536031,290.4801259,289.8532025,288.5491551,287.1295045,286.0550545,,
56.34,287.6887046,289.7183456,290.3635964,289.791101,288.5395121,287.147302,286.0746623,,
57.71,287.6008753,289.5888846,290.2503862,289.7287592,288.5274921,287.1625909,286.0926053,,
59.09,287.5167596,289.4639892,290.1396054,289.6658598,288.5131733,287.1755621,286.1090281,,
60.46,287.4372775,289.3451478,290.0327589,289.6034353,288.4969409,287.1861343,286.1237299,,
61.84,287.3609934,289.2303244,289.9281851,289.5406806,288.4787253,287.1945691,286.1369682,,
63.21,287.2887634,289.1209062,289.8272991,289.4785961,288.4589449,287.2008498,286.1485969,,
64.58,287.2197947,289.0157878,289.7292336,289.4168046,288.437617,287.2051487,286.1587666,,
65.96,287.1534085,288.9140079,289.6332055,289.3549263,288.4147037,287.2075781,286.1675871,,
67.33,287.0903746,288.8168183,289.5405108,289.2939159,288.3906617,287.2082024,286.1749838,,
68.71,287.0295938,288.7225901,289.4497021,289.2329329,288.3652569,287.2071289,286.1811192,,
70.08,286.9717835,288.6324948,289.3620046,289.1729032,288.3389654,287.2044673,286.1859595,,
71.45,286.9163439,288.5456561,289.2766637,289.1134184,288.3117067,287.2003068,286.1896084,,
72.83,286.8627557,288.4613051,289.1929962,289.0540803,288.2833653,287.1946894,286.1921349,,
74.2,286.8116663,288.3805056,289.1121322,288.9957738,288.2544387,287.1877817,286.1935568,,
