time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,6.94E-05
0,320.34,294.34,284.4,282.09,280.9,280.9,280.53,,
1.37,309.252412,290.3099871,283.4847821,281.603426,280.9061772,280.7445478,280.5357431,,
2.74,307.2863737,290.7864496,283.7017116,281.6432905,280.9348889,280.7358747,280.5523488,,
4.12,304.8065673,291.4775385,284.0157619,281.720505,280.9687899,280.7332494,280.5666825,,
5.49,302.3337909,292.0203577,284.346592,281.8120545,281.0024386,280.7343375,280.5771666,,
6.86,300.0926853,292.3520564,284.6834279,281.9161091,281.0368565,280.7384757,280.5850871,,
8.23,298.1392771,292.4880175,285.0145251,282.0316958,281.0731293,280.7451265,280.5915111,,
9.6,296.4588422,292.46758,285.3273972,282.1574575,281.1121176,280.7538865,280.5971712,,
10.97,295.0160157,292.3316149,285.6120682,282.2914757,281.1544439,280.7645082,280.6025389,,
12.35,293.7649565,292.1130378,285.8640197,282.4323699,281.2008525,280.7769672,280.6079564,,
13.72,292.6901866,291.8422185,286.0768882,282.575392,281.2508428,280.791048,280.6135465,,
15.09,291.7539183,291.5379434,286.2526018,282.718852,281.3046949,280.8068504,280.6194891,,
16.46,290.9331791,291.2147902,286.3928941,282.8602738,281.3621752,280.8244121,280.6258914,,
17.83,290.2093064,290.8831259,286.500528,282.9975366,281.4228921,280.8437704,280.6328412,,
19.21,289.5627336,290.5477833,286.5792333,283.12987,281.4868077,280.8651082,280.6404712,,
20.58,288.9904329,290.2186347,286.6312872,283.2540647,281.552408,280.8881113,280.6487361,,
21.95,288.4773618,289.8965926,286.6606764,283.3702083,281.619527,280.9128914,280.657744,,
23.32,288.0152266,289.583835,286.6705033,283.4777423,281.6875435,280.9393795,280.6675396,,
24.69,287.5971564,289.2817079,286.6635967,283.5763872,281.75586,280.9674753,280.6781559,,
26.07,287.2147796,288.9888877,286.6422882,283.6667089,281.8244168,280.9972725,280.6897002,,
27.44,286.868805,288.7099595,286.6091368,283.7475155,281.8917171,281.028189,280.7020125,,
28.81,286.5522754,288.4428074,286.5659931,283.8197395,281.9578203,281.0602694,280.7151674,,
30.18,286.2617493,288.1872805,286.5145576,283.8837175,282.0223501,281.093337,280.7291459,,
31.55,285.9942878,287.9430939,286.4563002,283.9398485,282.0849918,281.1272095,280.7439173,,
32.93,285.7456357,287.7082119,286.3920028,283.9888992,282.1459224,281.161957,280.7595557,,
34.3,285.5172078,287.4856094,286.3236893,284.0306196,282.2040557,281.1968943,280.7757832,,
35.67,285.3052455,287.2730878,286.2518408,284.0658559,282.2596883,281.2320965,280.7926512,,
37.04,285.1081076,287.0701772,286.17725,284.095069,282.3127103,281.2673975,280.8100946,,
38.41,284.9243593,286.8764065,286.1005921,284.1187084,282.3630497,281.3026412,280.8280431,,
39.78,284.7527409,286.6913115,286.0224412,284.1372073,282.4106668,281.337683,280.8464238,,
41.16,284.5910081,286.513179,285.9427041,284.1510635,282.4558673,281.3726419,280.8652993,,
42.53,284.4405177,286.344153,285.8629508,284.16047,282.4980072,281.4068902,280.88432,,
43.9,284.2991887,286.1824967,285.7829545,284.1659122,282.5374546,281.4405747,280.9035466,,
45.27,284.1662463,286.0278134,285.7030079,284.1677349,282.5742552,281.4735998,280.9229053,,
46.64,284.040999,285.8797268,285.6233565,284.1662598,282.6084676,281.5058812,280.9423248,,
48.01,283.9228275,285.7378808,285.5442054,284.1617855,282.6401598,281.5373459,280.9617368,,
49.39,283.8103835,285.6009678,285.4651553,284.154527,282.6696121,281.5681514,280.9812169,,
50.76,283.7047929,285.4706533,285.3874935,284.1448468,282.6964792,281.5977981,281.0004211,,
52.13,283.6047666,285.3456259,285.3107597,284.1329378,282.7210683,281.626469,281.019434,,
53.5,283.509896,285.2256052,285.2350477,284.1190171,282.7434666,281.6541288,281.0382025,,
54.88,283.4191699,285.1095029,285.159892,284.1031635,282.7639033,281.6809402,281.0568117,,
56.25,283.333565,284.9987525,285.0864414,284.085791,282.7821718,281.7064939,281.0749476,,
57.62,283.2521004,284.8922631,285.0141927,284.0669592,282.7985158,281.7309735,281.092706,,
58.99,283.1744969,284.789816,284.9431798,284.0468222,282.8130229,281.75437,281.1100515,,
60.36,283.100499,284.6912059,284.8734269,284.025521,282.8257785,281.7766798,281.1269525,,
61.73,283.0298728,284.5962399,284.8049497,284.0031845,282.8368664,281.7979033,281.1433813,,
63.11,282.9619225,284.5040808,284.7372712,283.9797579,282.8464317,281.8181883,281.1594285,,
64.48,282.8974345,284.4158929,284.6713746,283.955689,282.8544151,281.8372489,281.1748412,,
65.85,282.8357237,284.3308353,284.6067623,283.9309095,282.8609679,281.8552471,281.1897206,,
67.22,282.776623,284.2487572,284.5434275,283.9055092,282.8661633,281.8721967,281.204053,,
68.59,282.7199779,284.1695164,284.4813598,283.8795698,282.8700722,281.8881138,281.2178277,,
69.97,282.6652572,284.09243,284.4201062,283.8529716,282.8727775,281.9031215,281.2311308,,
71.34,282.6131211,284.0184883,284.3605387,283.8261683,282.8743055,281.917022,281.2437642,,
72.71,282.5630422,283.9470041,284.3021907,283.7990307,282.8747421,281.929949,281.255823,,
