time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6
0,309.59,300.27,294.77,290.02,287.9,286.34,285.46
1.37,304.7092385,297.1949404,292.1988258,288.8679308,287.0853809,285.8825903,285.4217949
2.75,302.8976711,297.3968616,292.3102472,288.9909731,287.1244278,285.9376751,285.4059689
4.12,300.7303884,297.5062295,292.4665844,289.1262751,287.1825822,285.9942143,285.3112143
5.49,298.7217211,297.4201028,292.6243148,289.2561636,287.2489505,286.033993,285.1842138
6.87,296.9876215,297.1593046,292.765466,289.3829767,287.3206132,286.0559773,285.053765
8.24,295.5427093,296.7807095,292.8728056,289.5052905,287.3933993,286.0637226,284.9341937
9.61,294.32996,296.3314048,292.9392262,289.6225374,287.4655348,286.0621364,284.8283613
10.99,293.2981893,295.8435552,292.962989,289.7328917,287.5360382,286.0551135,284.7358973
12.36,292.4248941,295.348325,292.9463215,289.8319826,287.6029187,286.0456711,284.6570546
13.73,291.6725116,294.8573842,292.8943348,289.9183467,287.6660064,286.0357233,284.5896538
15.11,291.0136899,294.3763924,292.8118918,289.9908935,287.7251568,286.0264218,284.5318495
16.48,290.4401264,293.9174589,292.7057031,290.0477679,287.7790348,286.018579,284.4831433
17.85,289.9328837,293.479603,292.5802607,290.0894103,287.8276848,286.0124138,284.4419154
19.23,289.4779583,293.0608403,292.4388264,290.116332,287.8710824,286.0079267,284.4069187
20.6,289.0732394,292.6672261,292.287125,290.1288747,287.9083714,286.0050351,284.3777714
21.97,288.7082929,292.2950441,292.1272027,290.1282431,287.9397553,286.0034461,284.3534229
23.35,288.3751776,291.9408666,291.9603027,290.1153846,287.9653574,286.0028456,284.3330545
24.72,288.0740715,291.6087141,291.790852,290.0916248,287.9848485,286.0029036,284.3163481
26.09,287.7986215,291.2947696,291.6192614,290.058043,287.9985477,286.0032762,284.3025967
27.47,287.5438677,290.9957407,291.4455499,290.0153922,288.0066631,286.0036454,284.2912363
28.84,287.3108051,290.7147992,291.2732542,289.9653277,288.0092922,286.0037109,284.2819891
30.21,287.0952394,290.448615,291.1019145,289.9085291,288.0067611,286.0032145,284.2743699
31.59,286.8938272,290.1943541,290.9309219,289.8453991,287.9992677,286.0019169,284.2679834
32.96,286.7078166,289.9547257,290.7632392,289.7776573,287.9872053,285.9996441,284.2626057
34.33,286.5342603,289.7269384,290.5979884,289.7055887,287.9708269,285.9962321,284.2579076
35.71,286.3707685,289.5086166,290.4342698,289.6292765,287.9502595,285.9915153,284.2536134
37.08,286.2186201,289.3021532,290.2746592,289.5504094,287.9260896,285.9854643,284.2495693
