time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6
0,312.71,305.4,299.9,294.34,291.21,288.78,287.4
1.37,309.2216803,303.0953683,297.5576755,293.0550694,290.1974572,288.220249,287.4384796
2.75,307.2908004,303.1338788,297.6105167,293.1805086,290.2566871,288.3082796,287.4294864
4.12,304.9129955,303.0761811,297.7067444,293.3219236,290.3417323,288.400575,287.3044191
5.49,302.6856187,302.8305,297.8005124,293.454169,290.4344792,288.4680824,287.1313121
6.87,300.7472155,302.4133478,297.874132,293.5793524,290.5310152,288.508822,286.9522744
8.24,299.1198955,301.8831619,297.9120981,293.6963408,290.6258705,288.5275248,286.7880411
9.61,297.7439085,301.2865968,297.9073129,293.8048174,290.7167756,288.5311979,286.6428673
10.99,296.5646038,300.6556548,297.8579236,293.9030428,290.8024845,288.5254165,286.5162613
12.36,295.5591653,300.0241596,297.7676489,293.986967,290.8806957,288.5144476,286.4084629
13.73,294.6868061,299.4029992,297.6415015,294.0551859,290.9514545,288.5011022,286.3163486
15.11,293.9176772,298.7969872,297.4841999,294.1065971,291.0148299,288.4870755,286.237257
16.48,293.2436508,298.2199231,297.3038899,294.1398286,291.0696713,288.4736228,286.1703884
17.85,292.643795,297.6696799,297.1048116,294.1553777,291.1163265,288.4611626,286.1134328
19.23,292.1025462,297.1432401,296.8899321,294.1537577,291.1549852,288.44978,286.0646054
20.6,291.6182414,296.6479196,296.6662252,294.1359509,291.1851066,288.4395678,286.0233496
21.97,291.1791259,296.1788965,296.4353421,294.1031894,291.2070985,288.4302226,285.9881958
23.35,290.7761979,295.7317837,296.1981251,294.0563902,291.2212056,288.4213832,285.9579954
24.72,290.4101555,295.3116552,295.9600959,293.9975831,291.2274602,288.4128408,285.9323528
26.09,290.0737,294.9137271,295.7212031,293.9278048,291.2262827,288.4041886,285.9103029
27.47,289.7610971,294.5338735,295.4810223,293.8477168,291.2179189,288.3950311,285.8910727
28.84,289.4738567,294.1761922,295.2440723,293.7596859,291.2028541,288.3851995,285.8743693
30.21,289.2070691,293.8365274,295.0094137,293.6642756,291.1814352,288.3743638,285.8595419
31.59,288.9567959,293.5113314,294.7759881,293.5617384,291.1538343,288.3622024,285.8460545
32.96,288.7247689,293.2041457,294.547654,293.4544886,291.1208497,288.3487001,285.8337119
34.33,288.5074786,292.9114744,294.3230618,293.3426364,291.0826954,288.33362,285.822072
35.71,288.3020604,292.6303294,294.1008737,293.2260699,291.0394259,288.3167139,285.8107582
37.08,288.1102402,292.3638601,293.8844908,293.1071474,290.9920432,288.2981386,285.7996778
38.45,287.9293898,292.1091347,293.6724061,292.9856282,290.940609,288.2777187,285.7885294
39.83,287.7573321,291.8636339,293.4631879,292.8611275,290.8850498,288.2552503,285.7770429
41.2,287.5957012,291.6301954,293.2598975,292.735915,290.8264973,288.2310464,285.7652285
42.57,287.4424556,291.4063432,293.0609999,292.6095034,290.7648681,288.2049574,285.7528755
43.95,287.2958825,291.1899348,292.8650637,292.48132,290.6999708,288.1767948,285.7397818
45.32,287.1574968,290.9835459,292.6748811,292.3535394,290.6330175,288.1470025,285.7260536
