time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6
0,318.46,307.53,301.09,294.96,291.65,289.65,288.03
1.37,313.3477626,304.8706569,298.5143198,293.6088232,290.8247842,288.9797163,288.0760134
2.75,311.033123,305.0394219,298.5973903,293.7718992,290.8938663,289.0428103,288.075658
4.12,308.2261137,305.0863133,298.7374425,293.9545719,290.9840739,289.1148485,287.9471868
5.49,305.6108562,304.8916657,298.8822674,294.1253309,291.0821755,289.1662138,287.7635893
6.87,303.3441253,304.47996,299.0086861,294.2869739,291.1851101,289.1934496,287.5711815
8.24,301.4483563,303.9235079,299.0951089,294.4386497,291.287294,289.2007011,287.3931633
9.61,299.8512757,303.2810835,299.1316258,294.580559,291.3863667,289.1945039,287.2347377
10.99,298.487429,302.5928481,299.1153137,294.7109833,291.4810211,289.1801955,287.0957662
12.36,297.3287458,301.899209,299.0494109,294.8250038,291.5686938,289.1620589,286.9768242
13.73,296.3268251,301.2142995,298.9398948,294.9210564,291.649343,289.1427567,286.8747199
15.11,295.4463433,300.5447026,298.7925246,294.9979104,291.7229441,289.1238755,286.7866991
16.48,294.6771354,299.9064528,298.6163648,295.0536488,291.7880204,289.1066592,286.712034
17.85,293.9945966,299.2976762,298.416752,295.088907,291.8448197,289.0913983,286.6482792
19.23,293.3804831,298.7153116,298.1975022,295.104353,291.8934442,289.0780711,286.5935401
20.6,292.8324567,298.1676071,297.9664238,295.1008333,291.9330712,289.0666984,286.5472744
21.97,292.3368301,297.6493057,297.7257931,295.0798707,291.9640705,289.056858,286.5078956
23.34,291.8862909,297.1590718,297.4787163,295.0429525,291.9865272,289.0481514,286.4743875
24.72,291.471958,296.6920714,297.2258622,294.9911945,292.0006876,289.0400902,286.4456608
26.09,291.0948269,296.2534402,296.9729186,294.9268822,292.0065974,289.0323566,286.421331
27.46,290.7475974,295.8380766,296.7196647,294.8511594,292.0046993,289.0244796,286.4004648
28.84,290.4245086,295.4416079,296.4655299,294.7647492,291.9952545,289.016019,286.3823092
30.21,290.1272474,295.0682706,296.2151951,294.6701938,291.9787902,289.0067617,286.3665625
31.59,289.8488898,294.7111811,295.9657887,294.5673063,291.9554809,288.9962796,286.3524891
32.96,289.5912696,294.3741903,295.7215207,294.4586512,291.9260853,288.9844806,286.3398496
34.33,289.3504059,294.0534235,295.4810205,294.3444711,291.8908786,288.9710951,286.3281484
35.7,289.1246547,293.7477529,295.2446199,294.2256288,291.8502764,288.9559659,286.3170458
37.08,288.9110788,293.4540598,295.01088,294.1019864,291.8043345,288.9388426,286.3061683
38.45,288.7115059,293.1756385,294.7833528,293.9760252,291.7541135,288.9198875,286.295417
39.83,288.5218955,292.9075315,294.5588212,293.8465235,291.6992626,288.8987677,286.284414
41.2,288.3440083,292.6528121,294.3405945,293.7158982,291.6409374,288.87576,286.2731335
42.57,288.1755601,292.4087518,294.1270451,293.5836933,291.579095,288.8507123,286.2613427
43.95,288.0146395,292.1729949,293.9166512,293.4493489,291.5135698,288.8234324,286.248822
45.32,287.8628819,291.9483269,293.7124233,293.3151804,291.4456143,288.7943451,286.2356499
46.69,287.7184706,291.7324265,293.512763,293.1805389,291.3750467,288.7633025,286.221658
48.07,287.5798675,291.5232748,293.31619,293.0447209,291.30159,288.7301112,286.206673
49.44,287.4485765,291.3234097,293.1254701,292.9099414,291.2265554,288.6953151,286.1908676
50.81,287.3231162,291.1308335,292.9390712,292.7754299,291.1496472,288.6587504,286.174107
52.19,287.2022192,290.9437965,292.7555817,292.6403957,291.0704983,288.620207,286.1562418
53.56,287.0872634,290.7646204,292.5775586,292.5069573,290.9904534,288.5803231,286.1375252
54.93,286.9770152,290.5915667,292.4035531,292.3742733,290.909127,288.5389076,286.1178354
56.31,286.8704095,290.423103,292.232232,292.2415047,290.8260825,288.4957264,286.0970304
57.68,286.7687082,290.2613606,292.0659715,292.1106789,290.7426802,288.4514904,286.0754307
59.05,286.6708659,290.1048115,291.9034104,291.980918,290.6584666,288.4059768,286.0529138
60.43,286.5759719,289.9520998,291.7432962,291.8513619,290.572953,288.3589249,286.0293349
61.8,286.4851837,289.8051892,291.5878456,291.7239513,290.4875028,288.3111005,286.005069
63.17,286.3976018,289.6627238,291.4357836,291.5977956,290.401612,288.2622489,285.9799845
64.55,286.3124361,289.5234937,291.2859368,291.4720319,290.3147553,288.2120835,285.9539282
65.92,286.2307508,289.3893135,291.140379,291.3485187,290.2282888,288.1614102,285.9273178
67.29,286.1517617,289.2589703,290.997918,291.2263684,290.1416732,288.1099445,285.9000087
68.67,286.0747751,289.1313758,290.8574546,291.1047274,290.0543581,288.0573767,285.8718362
70.04,286.0007717,289.0082123,290.7209347,290.9853758,289.967685,288.00454,285.843251
71.41,285.9290602,288.8883866,290.5872431,290.8674398,289.8810912,287.9511242,285.8140935
72.78,285.8595247,288.7717527,290.456296,290.7509278,289.7946408,287.897195,285.7844056
74.16,285.7915723,288.6573551,290.3270855,290.6350101,289.7077642,287.8424169,285.7540067
75.53,285.726087,288.5467218,290.2014056,290.5213686,289.6217752,287.7876441,285.7233782
76.91,285.6620173,288.4381143,290.0773448,290.4083433,289.5354692,287.7321355,285.6921133
78.28,285.6002039,288.332991,289.9566276,290.2975692,289.4501429,287.6767505,285.6607041
79.65,285.5400939,288.230447,289.8382756,290.1882169,289.365212,287.6211401,285.628963
