time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6
0,331.53,313.15,302.02,294.09,288.84,285.59,284.28
1.37,323.020713,308.5637628,298.7249007,291.9186717,287.5057752,285.0732463,284.3180443
2.75,319.621812,308.9228538,298.9363232,292.0917637,287.6525396,285.2033128,284.331172
4.12,315.5597906,309.1202597,299.2170927,292.3093618,287.8326544,285.3424736,284.2597126
5.49,311.798051,308.9530665,299.4961842,292.5309022,288.014546,285.4626912,284.1555805
6.87,308.5517611,308.4585185,299.743608,292.7560537,288.1964657,285.5627623,284.0500972
8.24,305.8471158,307.7430734,299.9288378,292.9790222,288.3741373,285.645244,283.9577966
9.61,303.5768169,306.894998,300.0390328,293.1966016,288.5476637,285.7159865,283.8815823
10.99,301.6448408,305.974628,300.0710339,293.4042311,288.7173468,285.7798019,283.8209605
12.36,300.0090375,305.0405535,300.0291844,293.5930722,288.8799196,285.8390434,283.7753235
13.73,298.5991341,304.1146842,299.9228715,293.7600324,289.0357841,285.8964145,283.742356
15.11,297.3639895,303.2076561,299.761044,293.9029181,289.1850724,285.9537103,283.7201678
16.48,296.288172,302.3423007,299.5562686,294.0180078,289.3246752,286.0108421,283.7074881
17.85,295.3362999,301.516784,299.3168007,294.1060495,289.454821,286.0684907,283.702736
19.23,294.4822138,300.7273926,299.0486445,294.167973,289.5755901,286.1270136,283.7047448
20.6,293.7220628,299.9855713,298.762492,294.2041349,289.6846444,286.1852696,283.712424
21.97,293.0363535,299.2843448,298.4620779,294.2167531,289.7825039,286.2432522,283.7248297
23.34,292.4145746,298.6219836,298.1519608,294.207738,289.8689642,286.3004608,283.7411232
24.72,291.8441601,297.9919946,297.833499,294.1788209,289.9445009,286.3567739,283.7606974
26.09,291.3262092,297.4013002,297.5142698,294.1324403,290.0081412,286.4108601,283.7825751
27.46,290.8504548,296.8429901,297.1943209,294.0703975,290.0607212,286.4626553,283.8062601
28.84,290.4088239,296.3111545,296.8731764,293.9939277,290.1028539,286.512079,283.8313673
30.21,290.0034582,295.8114219,296.5569403,293.905856,290.1343523,286.5580419,283.8570135
31.59,289.624773,295.334516,296.2421285,293.8064882,290.1561581,286.6008997,283.8831015
32.96,289.2751399,294.8855141,295.9341607,293.6986975,290.1684678,286.6397795,283.9088364
34.33,288.9490383,294.4591725,295.6313811,293.5830865,290.1720038,286.6748115,283.9340402
35.7,288.6441468,294.0539223,295.3342601,293.4608098,290.167303,286.7058558,283.9583922
37.08,288.3564203,293.6655691,295.0410295,293.3319469,290.1547825,286.7330019,283.9817795
38.45,288.0882428,293.2983981,294.756165,293.1992892,290.1351524,286.7558072,284.003625
39.83,287.8341126,292.9458006,294.4756472,293.0617273,290.1086451,286.7745933,284.0240458
41.2,287.5963243,292.6117488,294.2036094,292.9219799,290.0761396,286.7891092,284.0425816
42.57,287.3717565,292.2925862,293.9380073,292.7796992,290.0379381,286.7995553,284.0592554
43.95,287.1578111,291.9851756,293.676941,292.6343865,289.9941529,286.8060367,284.0740654
45.32,286.9566096,291.6930843,293.424128,292.4886434,289.9458449,286.8085516,284.0867216
46.69,286.7656872,291.4132217,293.1775608,292.3418553,289.893115,286.807269,284.0972871
48.06,286.5842608,291.1448376,292.937127,292.194401,289.836339,286.802309,284.1057317
49.44,286.4103951,290.8853969,292.7010094,292.0455321,289.7754151,286.7937265,284.1120819
50.81,286.2459685,290.6380155,292.4724902,291.8976968,289.7115578,286.7817838,284.1162503
52.19,286.0879942,290.3984806,292.2480839,291.7489924,289.6441475,286.7664512,284.1183167
53.56,285.9382348,290.169712,292.0308898,291.6017936,289.57445,286.7480978,284.1182819
54.93,285.795042,289.9494316,291.8191056,291.455211,289.5022549,286.7267718,284.1162095
56.3,285.6579812,289.7371677,291.6125747,291.3094081,289.4278109,286.7026215,284.1121489
57.68,285.5257169,289.5310148,291.4096883,291.1634718,289.3507844,286.6755896,284.1061058
59.05,285.3998004,289.3335506,291.2132303,291.0196389,289.2725079,286.6462149,284.0982305
60.43,285.2780549,289.141507,291.0201764,290.8759142,289.1920414,286.6142153,284.0884756
61.8,285.1619368,288.9573115,290.8331726,290.7344689,289.1107375,286.5801966,284.0770531
63.17,285.050264,288.7792184,290.6506546,290.5943312,289.0281905,286.5440737,284.0639715
64.55,284.9420069,288.6056825,290.4711931,290.4545553,288.9439458,286.505696,284.0491924
65.92,284.8384932,288.4389292,290.2972476,290.3172187,288.8593731,286.4657509,284.0330059
67.29,284.7387014,288.2774109,290.1273653,290.1813455,288.7740028,286.4240934,284.0153864
68.67,284.6417359,288.1197504,289.9602167,290.0459947,288.6873318,286.3805241,283.996266
70.04,284.5488101,287.9679946,289.7980954,289.9131548,288.6007347,286.3357924,283.9759973
71.41,284.4590317,287.8207613,289.6396519,289.7818603,288.5136948,286.2897009,283.9545208
72.78,284.3722362,287.6778421,289.4847668,289.6521264,288.4263134,286.2423576,283.9319092
74.16,284.2876673,287.5380428,289.3322317,289.5230341,288.3380437,286.1935082,283.9080572
75.53,284.2064068,287.4032039,289.1841453,289.3964605,288.2502524,286.1439602,283.8833802
76.91,284.1271329,287.2711809,289.038237,289.2705607,288.1617394,286.0930861,283.8575868
78.28,284.050869,287.1437229,288.8965179,289.1471589,288.0738621,286.041714,283.8311165
79.65,283.9769149,287.0197055,288.7578199,289.025334,287.9860482,285.9895643,283.8038491
