Date,25/02/2020,Inside/Outside,18.37/5.88
Time,Temperature
4252.0,291.65
4503.0,291.65
4754.0,291.65
5005.0,291.71
5257.0,291.65
5508.0,291.77
5758.0,291.65
6009.0,291.71
6261.0,291.65
6512.0,291.65
6763.0,291.71
7014.0,291.71
7266.0,291.77
7517.0,291.77
7768.0,291.77
8018.0,291.71
8270.0,291.77
8521.0,291.71
8772.0,291.71
9023.0,291.84
9275.0,291.84
9526.0,291.77
9777.0,291.77
10028.0,291.59
10279.0,291.4
10530.0,291.27
10781.0,291.15
11032.0,291.15
11284.0,291.09
11535.0,291.09
11786.0,291.02
12038.0,290.96
12289.0,290.9
12539.0,290.9
12791.0,290.84
13042.0,290.77
13293.0,290.77
13544.0,290.65
13796.0,290.59
14047.0,290.52
14298.0,290.52
14550.0,290.46
14800.0,290.46
15051.0,290.46
15302.0,290.52
15554.0,290.4
15805.0,290.34
16056.0,290.34
16308.0,290.21
16559.0,290.21
16809.0,290.15
17060.0,290.15
17312.0,290.09
17563.0,290.09
17814.0,289.96
18066.0,289.9
18317.0,289.9
18568.0,289.84
18819.0,289.84
19070.0,289.77
19321.0,289.84
19572.0,289.84
19824.0,289.84
20075.0,289.71
20326.0,289.71
20577.0,289.65
20829.0,289.59
21080.0,289.52
21330.0,289.46
21582.0,289.46
21833.0,289.46
22084.0,289.4
22336.0,289.4
22587.0,289.34
22838.0,289.27
23089.0,289.21
23341.0,289.15
23591.0,289.09
23842.0,289.09
24094.0,289.03
24345.0,288.9
24596.0,288.9
24847.0,288.9
25099.0,288.84
25350.0,288.78
25601.0,288.78
25852.0,288.78
26103.0,288.71
26354.0,288.65
26605.0,288.65
26857.0,288.59
27108.0,288.53
27359.0,288.53
27611.0,288.46
27862.0,288.4
28112.0,288.4
28363.0,288.34
28615.0,288.28
28866.0,288.28
29117.0,288.21
29369.0,288.15
29620.0,288.15
29871.0,288.09
30121.0,288.03
30373.0,288.03
30624.0,288.03
30875.0,287.96
31127.0,287.9
31378.0,287.84
31629.0,287.78
31880.0,287.65
32132.0,287.71
32382.0,287.65
32633.0,287.59
32885.0,287.53
33136.0,287.53
33387.0,287.46
33638.0,287.4
33890.0,287.4
34141.0,287.34
34392.0,287.4
34643.0,287.34
34894.0,287.28
35145.0,287.21
35396.0,287.21
35648.0,287.15
35899.0,287.09
36150.0,287.09
36402.0,286.96
36653.0,286.96
36903.0,286.96
37154.0,286.9
37406.0,286.84
37657.0,286.84
37908.0,286.71
38160.0,286.71
38411.0,286.65
38662.0,286.59
38913.0,286.59
39164.0,286.53
39415.0,286.46
39666.0,286.46
39918.0,286.4
40169.0,286.46
40420.0,286.34
40671.0,286.34
40923.0,286.28
41174.0,286.21
41424.0,286.21
41676.0,286.21
41927.0,286.15
42178.0,286.15
42429.0,286.09
42681.0,286.15
42932.0,286.03
43183.0,286.03
43435.0,285.96
43685.0,285.96
43936.0,285.96
44187.0,285.9
44439.0,285.84
44690.0,285.84
44941.0,285.78
45193.0,285.71
45444.0,285.71
45694.0,285.71
45946.0,285.65
46197.0,285.59
46448.0,285.59
46699.0,285.59
46951.0,285.46
47202.0,285.4
47453.0,285.4
47705.0,285.4
47955.0,285.34
48206.0,285.34
48457.0,285.34
48709.0,285.28
48960.0,285.21
49211.0,285.21
49463.0,285.15
49714.0,285.09
49965.0,285.09
50215.0,285.09
50467.0,285.03
50718.0,285.09
50969.0,285.03
51221.0,285.03
51472.0,284.96
51723.0,284.96
51974.0,284.9
52226.0,284.9
52476.0,284.9
52727.0,284.78
52979.0,284.78
53230.0,284.78
53481.0,284.71
53732.0,284.71
53984.0,284.65
54235.0,284.65
54486.0,284.65
54737.0,284.59
54988.0,284.59
55239.0,284.53
55490.0,284.46
55742.0,284.46
55993.0,284.46
56244.0,284.4
56496.0,284.4
56747.0,284.34
56997.0,284.34
57248.0,284.34
57500.0,284.28
57751.0,284.28
58002.0,284.21
58254.0,284.21
58505.0,284.21
58756.0,284.15
59006.0,284.15
59258.0,284.15
59509.0,284.09
59760.0,284.15
60012.0,284.09
60263.0,284.03
60514.0,284.03
60765.0,283.96
61017.0,283.96
61267.0,283.96
61518.0,283.96
61770.0,283.9
62021.0,283.84
62272.0,283.84
62523.0,283.84
62775.0,283.78
63026.0,283.84
63277.0,283.78
63528.0,283.78
63779.0,283.71
64030.0,283.71
64281.0,283.65
64533.0,283.65
64784.0,283.65
65035.0,283.59
65287.0,283.53
65538.0,283.59
