Date,25/02/2020,Inside/Outside,19.69/5.38
Time,Temperature,,
61267,283.65,,
61518,283.65,,
61769,283.65,,
62021,283.59,,
62272,283.59,,
62523,283.59,,
62774,283.59,,
63026,283.53,,
63277,283.53,,
63527,283.53,,
63779,283.53,,
64030,283.46,,
64281,283.4,,
64533,283.4,,
64784,283.4,,
65035,283.4,,
65286,283.34,,
65538,283.34,,
65788,283.34,,
66039,283.34,,
66291,283.28,,
66542,283.34,,
66793,283.21,,
67044,283.21,,
67296,283.15,,
67547,283.21,,
67798,283.15,,
68048,283.15,,
68300,283.15,,
68551,283.09,,
68802,283.09,,
69054,283.03,,
69305,283.09,,
69556,283.03,,
69807,282.96,,
70059,282.96,,
70309,282.96,,
70560,282.96,,
70811,282.96,,
71063,282.96,,
71314,282.9,,
71565,282.9,,
71816,282.9,,
72067,282.9,,
72318,282.84,,
72569,282.78,,
72820,282.84,,
73071,282.78,,
73323,282.78,,
73574,282.78,,
73825,282.78,,
74076,282.71,,
74328,282.78,,
74578,282.71,,
74829,282.65,,
75080,282.65,,
75332,282.65,,
75583,282.59,,
75834,282.59,,
76085,282.59,,
76337,282.59,,
76588,282.53,,
76838,282.59,,
77089,282.53,,
77341,282.53,,
77592,282.53,,
77843,282.46,,
78094,282.53,,
78346,282.46,,
78597,282.4,,
78848,282.4,,
79098,282.46,,
79350,282.4,,
79601,282.4,,
79852,282.4,,
80103,282.34,,
80355,282.34,,
80606,282.34,,
80857,282.34,,
81107,282.34,,
81359,282.28,,
81610,282.28,,
81861,282.28,,
82112,282.28,,
82364,282.21,,
82615,282.21,,
82866,282.21,,
83117,282.21,,
83367,282.21,,
83619,282.21,,
83870,282.15,,
84121,282.15,,
84372,282.21,,
84624,282.15,,
84875,282.15,,
85126,282.09,,
85377,282.09,,
85628,282.15,,
85879,282.03,,
86130,282.03,,
86381,282.09,,
86633,282.03,,
86884,282.03,,
87135,282.03,,
87386,281.96,,
87638,281.96,,
87888,281.96,,
88139,281.96,,
88390,281.9,,
88642,281.9,,
88893,281.9,,
89144,281.9,,
89395,281.9,,
89647,281.9,,
89897,281.84,,
90148,281.84,,
90399,281.84,,
90651,281.78,,
90902,281.78,,
91153,281.78,,
91404,281.78,,
91656,281.78,,
91907,281.78,,
92157,281.71,,
92408,281.71,,
92659,281.71,,
92911,281.65,,
93162,281.65,,
93413,281.65,,
93664,281.71,,
93916,281.71,,
94167,281.65,,
94417,281.71,,
94668,281.65,,
94920,281.59,,
95171,281.59,,
95422,281.59,,
95673,281.59,,
95925,281.59,,
96176,281.53,,
96427,281.59,,
96677,281.53,,
96929,281.59,,
97180,281.53,,
97431,281.53,,
97682,281.46,,
97934,281.46,,
98185,281.53,,
98436,281.46,,
98686,281.46,,
98938,281.4,,
99189,281.4,,
99440,281.4,,
99691,281.4,,
99943,281.4,,
100194,281.4,,
100445,281.4,,
100696,281.34,,
100947,281.34,,
101198,281.34,,
101449,281.34,,
101701,281.34,,
101952,281.34,,
102203,281.28,,
102454,281.28,,
102706,281.28,,
102957,281.28,,
103207,281.28,,
103459,281.28,,
103710,281.21,,
103961,281.09,,
104212,281.09,,
104464,281.09,,
104715,281.09,,
104966,281.09,,
105218,281.09,,
105468,281.03,,
105719,281.03,,
105970,281.03,,
106222,281.03,,
106473,281.03,,
106724,280.96,,
106976,280.96,,
107227,280.96,,
107478,280.96,,
107728,280.96,,
107980,280.9,,
108231,280.9,,
108482,280.96,,
108734,280.9,,
108985,280.96,,
109236,280.9,,
109487,280.9,,
109739,280.9,,
109989,280.9,,
110240,280.84,,
110492,280.9,,
110743,280.84,,
110994,280.78,,
111245,280.78,,
111497,280.84,,
111748,280.84,,
111998,280.84,,
112250,280.78,,
112501,280.78,,
112752,280.78,,
113003,280.78,,
113255,280.78,,
113506,280.71,,
113757,280.71,,
114009,280.78,,
114259,280.71,,
114510,280.71,,
114762,280.71,,
115013,280.78,,
115264,280.71,,
115515,280.71,,
115767,280.71,,
116018,280.65,,
116269,280.71,,
116520,280.71,,
116771,280.71,,
117022,280.65,,
117273,280.65,,
117525,280.71,,
117776,280.65,,
118027,280.65,,
118279,280.65,,
118530,280.65,,
118780,280.59,,
119031,280.59,,
119283,280.65,,
119534,280.59,,
119785,280.59,,
120037,280.59,,
120288,280.53,,
120539,280.53,,
120790,280.59,,
121041,280.53,,
121292,280.59,,
121543,280.53,,
121795,280.53,,
122046,280.46,,
122297,280.46,,
122548,280.53,,
122800,280.46,,
123051,280.46,,
123301,280.46,,
123553,280.46,,
123804,280.53,,
124055,280.46,,
124306,280.46,,
124558,280.4,,
124809,280.46,,
125060,280.46,,
125312,280.4,,
125562,280.34,,
125813,280.4,,
126064,280.4,,
126316,280.4,,
126567,280.4,,
126818,280.34,,
127070,280.4,,
127321,280.34,,
127571,280.4,,
127823,280.34,,
128074,280.34,,
128325,280.34,,
128576,280.34,,
128828,280.34,,
129079,280.34,,
129330,280.34,,
129582,280.28,,
129832,280.34,,
130083,280.28,,
130334,280.28,,
130586,280.28,,
130837,280.28,,
131088,280.28,,
131340,280.28,,
131591,280.28,,
131842,280.28,,
132092,280.28,,
132344,280.28,,
132595,280.21,,
132846,280.21,,
133098,280.28,,
133349,280.21,,
133600,280.21,,
133851,280.21,,
134103,280.21,,
134353,280.15,,
134604,280.21,,
134856,280.21,,
135107,280.15,,
135358,280.21,,
135609,280.21,,
135861,280.15,,
136112,280.15,,
136363,280.15,,
136614,280.09,,
136865,280.15,,
137116,280.09,,
137367,280.15,,
137619,280.09,,
137870,280.09,,
138121,280.15,,
138373,280.15,,
138624,280.09,,
138874,280.15,,
139125,280.09,,
139377,280.09,,
139628,280.09,,
139879,280.09,,
140131,280.09,,
140382,280.03,,
140633,280.03,,
140883,280.03,,
141135,280.03,,
141386,280.03,,
141637,280.09,,
141889,280.09,,
142140,280.03,,
142391,280.03,,
142642,280.03,,
142894,280.03,,
143144,280.03,,
143395,280.03,,
143647,279.96,,
143898,279.96,,
144149,280.03,,
144400,279.96,,
144652,279.96,,
144903,280.03,,
145154,279.96,,
145405,279.96,,
145656,279.96,,
145907,279.96,,
146158,279.96,,
146410,279.96,,
146661,280.03,,
146912,280.03,,
147164,279.96,,
147415,279.96,,
147665,279.9,,
147916,279.96,,
148168,279.9,,
148419,279.9,,
148670,279.9,,
148922,279.96,,
149173,279.9,,
149424,279.9,,
149675,279.9,,
149926,279.9,,
150177,279.9,,
150428,279.9,,
150680,279.9,,
150931,279.9,,
151182,279.9,,
151434,279.84,,
151685,279.84,,
151936,279.84,,
152186,279.84,,
152438,279.84,,
152689,279.9,,
152940,279.84,,
153192,279.9,,
153443,279.78,,
153694,279.84,,
153945,279.84,,
154196,279.78,,
154447,279.84,,
154698,279.84,,
154950,279.84,,
155201,279.78,,
155452,279.78,,
155703,279.78,,
155955,279.84,,
156206,279.78,,
156456,279.78,,
156708,279.84,,
156959,279.78,,
157210,279.78,,
157461,279.78,,
157713,279.78,,
157964,279.78,,
158215,279.78,,
158467,279.78,,
158717,279.78,,
