Date,24/02/2020,Inside/Outside,19.37/6.69
Time,Temperature
4252.0,292.96
4503.0,292.9
4754.0,293.02
5005.0,292.96
5257.0,292.96
5508.0,293.02
5758.0,293.02
6009.0,292.96
6261.0,292.96
6512.0,292.96
6763.0,292.96
7014.0,292.9
7266.0,292.9
7517.0,292.9
7768.0,292.96
8018.0,293.15
8270.0,292.96
8521.0,292.96
8772.0,292.96
9023.0,292.96
9275.0,292.96
9526.0,292.96
9777.0,292.96
10028.0,292.96
10279.0,292.96
10530.0,292.96
10781.0,292.96
11033.0,292.77
11284.0,292.52
11535.0,273.15
11786.0,292.21
12038.0,273.15
12289.0,292.09
12539.0,292.02
12790.0,292.02
13042.0,291.96
13293.0,291.9
13544.0,291.9
13796.0,291.84
14047.0,291.77
14298.0,291.65
14548.0,291.71
14800.0,291.71
15051.0,291.46
15302.0,291.46
15554.0,291.27
15805.0,291.27
16056.0,291.21
16308.0,291.21
16559.0,291.34
16809.0,291.21
17060.0,291.21
17312.0,291.15
17563.0,291.15
17814.0,291.15
18066.0,291.15
18317.0,291.09
18568.0,291.02
18819.0,291.02
19070.0,290.96
19321.0,290.96
19572.0,290.9
19824.0,290.9
20075.0,290.84
20326.0,290.77
20577.0,290.71
20829.0,290.71
21080.0,290.65
21330.0,290.59
21582.0,290.59
21833.0,290.59
22084.0,290.46
22335.0,290.46
22587.0,290.46
22838.0,290.4
23089.0,290.4
23341.0,290.34
23591.0,290.27
23842.0,290.27
24093.0,290.21
24345.0,290.21
24596.0,290.15
24847.0,290.15
25099.0,290.09
25350.0,290.02
25601.0,290.02
25851.0,289.96
26103.0,289.9
26354.0,289.9
26605.0,289.9
26857.0,289.84
27108.0,289.77
27359.0,289.77
27611.0,289.84
27862.0,289.77
28112.0,289.77
28363.0,289.77
28615.0,289.71
28866.0,289.65
29117.0,289.65
29369.0,289.59
29620.0,289.59
29871.0,289.52
30121.0,289.46
30373.0,289.46
30624.0,289.46
30875.0,289.4
31127.0,289.34
31378.0,289.34
31629.0,289.34
31880.0,289.27
32132.0,289.21
32382.0,289.21
32633.0,289.21
32885.0,289.15
33136.0,289.09
33387.0,289.09
33639.0,289.03
33890.0,289.03
34141.0,288.96
34392.0,288.96
34643.0,288.84
34894.0,288.84
35145.0,288.78
35397.0,288.78
35648.0,288.78
35899.0,288.71
36150.0,288.65
36402.0,288.59
36653.0,288.59
36903.0,288.53
37155.0,288.59
37406.0,288.53
37657.0,288.46
37908.0,288.4
38160.0,288.4
38411.0,288.4
38662.0,288.4
38914.0,288.34
39164.0,288.28
39415.0,288.28
39666.0,288.21
39918.0,288.21
40169.0,288.21
40420.0,288.15
40672.0,288.15
40923.0,288.09
41174.0,288.09
41424.0,288.03
41676.0,288.03
41927.0,287.96
42178.0,287.96
42430.0,287.9
42681.0,287.96
42932.0,287.9
43183.0,287.84
43435.0,287.78
43685.0,287.78
43936.0,287.71
44188.0,287.65
44439.0,287.65
44690.0,287.65
44941.0,287.59
45193.0,287.53
45444.0,287.53
45694.0,287.46
45946.0,287.46
46197.0,287.4
46448.0,287.4
