Date,24/02/2020,Inside/Outside,20.50/6.94
Time,Temperature
4252.0,293.09
4503.0,293.15
4754.0,293.09
5005.0,293.09
5257.0,293.09
5508.0,293.09
5758.0,293.09
6009.0,293.09
6261.0,293.09
6512.0,293.09
6763.0,293.09
7014.0,293.02
7266.0,292.9
7517.0,292.71
7768.0,292.52
8018.0,292.46
8270.0,292.34
8521.0,292.27
8772.0,292.21
9023.0,292.15
9275.0,292.09
9526.0,291.96
9777.0,291.9
10028.0,291.84
10279.0,291.71
10530.0,291.71
10781.0,291.84
11033.0,292.02
11284.0,291.9
11535.0,291.65
11786.0,291.52
12038.0,291.46
12289.0,291.4
12539.0,291.27
12791.0,291.21
13042.0,291.21
13293.0,291.09
13544.0,291.09
13796.0,291.02
14047.0,290.96
14298.0,290.96
14550.0,290.84
14800.0,290.77
15051.0,290.71
15302.0,290.71
15554.0,290.65
15805.0,290.59
16056.0,290.59
16308.0,290.52
16559.0,290.46
16809.0,290.46
17060.0,290.4
17312.0,290.34
17563.0,290.27
17814.0,290.27
18066.0,290.21
18317.0,290.15
18568.0,290.15
18819.0,290.15
19070.0,290.09
19321.0,290.02
19572.0,289.96
19824.0,289.9
20075.0,289.9
20326.0,289.9
20578.0,289.77
20829.0,289.77
21080.0,289.84
21330.0,289.77
21582.0,289.84
21833.0,289.77
22084.0,289.77
22336.0,289.71
22587.0,289.71
22838.0,289.65
23089.0,289.59
23341.0,289.65
23591.0,289.52
23842.0,289.52
24094.0,289.46
24345.0,289.4
24596.0,289.4
24847.0,289.4
25099.0,289.34
25350.0,289.34
25601.0,289.27
25852.0,289.27
26103.0,289.21
26354.0,289.15
26606.0,289.09
26857.0,289.15
27108.0,289.09
27359.0,289.03
27611.0,289.03
27862.0,288.96
28112.0,288.96
28364.0,288.9
28615.0,288.84
28866.0,288.84
29117.0,288.84
29369.0,288.78
29620.0,288.71
29871.0,288.71
30123.0,288.65
30373.0,288.65
30624.0,288.65
30875.0,288.65
31127.0,288.59
31378.0,288.59
31629.0,288.53
31881.0,288.46
32132.0,288.4
32382.0,288.4
32633.0,288.4
32885.0,288.4
33136.0,288.34
33387.0,288.28
33639.0,288.21
33890.0,288.21
34141.0,288.21
34392.0,288.21
34643.0,288.15
34894.0,288.15
35145.0,288.09
35397.0,288.03
35648.0,287.96
35899.0,287.96
36150.0,287.96
36402.0,287.9
36653.0,287.9
36903.0,287.84
37155.0,287.84
37406.0,287.84
37657.0,287.78
37908.0,287.71
38160.0,287.71
38411.0,287.71
38662.0,287.65
38914.0,287.65
39164.0,287.59
39415.0,287.59
39666.0,287.59
39918.0,287.53
40169.0,287.53
40420.0,287.53
40672.0,287.46
40923.0,287.46
41174.0,287.4
41424.0,287.4
41676.0,287.34
41927.0,287.34
42178.0,287.34
42430.0,287.28
42681.0,287.28
42932.0,287.21
43183.0,287.15
43435.0,287.15
43685.0,287.15
43936.0,287.09
44188.0,287.09
44439.0,287.03
44690.0,287.03
44941.0,286.96
45193.0,286.96
45444.0,286.96
45694.0,286.96
45946.0,286.9
46197.0,286.84
46448.0,286.9
46700.0,286.84
46951.0,286.84
47202.0,286.78
47453.0,286.78
47705.0,286.78
47955.0,286.71
48206.0,286.71
48458.0,286.65
48709.0,286.65
48960.0,286.65
49211.0,286.65
49463.0,286.59
49714.0,286.59
49965.0,286.53
50216.0,286.53
50467.0,286.53
50718.0,286.46
50969.0,286.46
