Date,19/02/2020,Material,Aluminum,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
24245,354.77,335.53,321.34,310.59,303.09,296.4,293.15,280.4
24382,354.77,335.53,321.34,310.59,303.15,296.4,293.15,280.4
24519,354.77,335.59,321.34,310.59,303.15,296.4,293.15,280.34
24656,354.77,335.59,321.34,310.59,303.09,296.4,293.15,280.34
24794,354.71,335.53,321.28,310.59,303.09,296.4,293.15,280.4
24932,354.71,335.53,321.28,310.59,303.15,296.46,293.15,280.4
25069,354.59,335.53,321.34,310.59,303.15,296.46,293.15,280.34
25206,354.52,335.46,321.28,310.59,303.15,296.4,293.21,280.34
25344,354.52,335.46,321.28,310.59,303.15,296.46,293.21,280.4
25481,354.46,335.53,321.28,310.59,303.15,296.46,293.15,280.4
25618,354.46,335.53,321.28,310.53,303.15,296.4,293.15,280.4
25755,354.4,335.46,321.28,310.53,303.15,296.4,293.21,280.4
25892,354.4,335.46,321.28,310.59,303.15,296.4,293.21,280.4
26030,354.34,335.46,321.34,310.59,303.15,296.4,293.21,280.34
26168,354.34,335.46,321.28,310.59,303.09,296.4,293.21,280.34
26305,354.27,335.46,321.28,310.59,303.09,296.4,293.15,280.4
26442,354.21,335.46,321.28,310.59,303.15,296.46,293.15,280.34
26579,354.21,335.46,321.28,310.59,303.15,296.52,293.15,280.34
26717,354.15,335.4,321.28,310.59,303.15,296.52,293.15,280.34
26854,354.15,335.4,321.28,310.59,303.15,296.46,293.15,280.34
26991,354.15,335.4,321.34,310.59,303.21,296.46,293.15,280.34
27128,354.15,335.4,321.28,310.59,303.15,296.46,293.15,280.34
27266,354.09,335.4,321.28,310.59,303.15,296.46,293.15,280.4
27404,354.09,335.4,321.28,310.59,303.15,296.46,293.15,280.34
27541,354.02,335.4,321.28,310.59,303.15,296.46,293.21,280.34
27678,354.02,335.34,321.28,310.59,303.15,296.46,293.21,280.34
27815,353.96,335.34,321.28,310.59,303.15,296.46,293.21,280.34
27953,353.84,335.34,321.28,310.59,303.21,296.46,293.21,280.34
28090,353.84,335.34,321.28,310.59,303.21,296.46,293.21,280.34
28227,353.84,335.34,321.21,310.59,303.21,296.46,293.27,280.34
28364,353.84,335.28,321.28,310.59,303.21,296.46,293.27,280.34
28503,353.71,335.28,321.28,310.59,303.21,296.46,293.21,280.34
28640,353.71,335.28,321.28,310.59,303.21,296.52,293.21,280.34
28777,353.71,335.28,321.28,310.59,303.21,296.52,293.21,280.34
28914,353.71,335.28,321.21,310.59,303.15,296.52,293.21,280.4
29051,353.65,335.28,321.21,310.59,303.15,296.52,293.21,280.4
29189,353.65,335.28,321.28,310.59,303.21,296.52,293.27,280.4
29326,353.59,335.21,321.21,310.59,303.21,296.46,293.27,280.34
29463,353.52,335.21,321.21,310.59,303.21,296.46,293.21,280.34
29601,353.52,335.15,321.28,310.59,303.21,296.52,293.21,280.34
29739,353.46,335.15,321.28,310.53,303.21,296.52,293.27,280.34
29876,353.46,335.15,321.21,310.53,303.21,296.52,293.27,280.34
30013,353.34,335.15,321.21,310.59,303.21,296.52,293.21,280.4
30150,353.34,335.15,321.28,310.59,303.27,296.52,293.21,280.4
30287,353.27,335.15,321.28,310.59,303.27,296.52,293.21,280.4
30425,353.27,335.15,321.28,310.59,303.21,296.52,293.27,280.4
30562,353.21,335.09,321.21,310.59,303.21,296.52,293.27,280.4
30699,353.21,335.09,321.21,310.59,303.21,296.52,293.27,280.4
30837,353.15,335.09,321.21,310.59,303.21,296.52,293.27,280.4
30974,353.09,335.09,321.21,310.59,303.27,296.52,293.27,280.34
31112,353.09,335.09,321.21,310.59,303.27,296.59,293.27,280.34
31249,353.02,335.09,321.21,310.59,303.21,296.59,293.27,280.34
31386,353.02,335.03,321.21,310.59,303.21,296.59,293.27,280.34
31523,352.9,335.03,321.21,310.59,303.21,296.59,293.27,280.4
31661,352.9,335.03,321.21,310.59,303.27,296.59,293.21,280.4
31798,352.84,335.03,321.15,310.59,303.27,296.59,293.21,280.4
31936,352.84,335.03,321.15,310.59,303.27,296.59,293.27,280.34
32073,352.77,334.96,321.21,310.53,303.27,296.59,293.27,280.34
32210,352.77,334.96,321.21,310.53,303.21,296.59,293.27,280.34
32348,352.77,334.9,321.21,310.59,303.21,296.59,293.27,280.34
32485,352.65,334.9,321.21,310.59,303.21,296.59,293.27,280.4
32622,352.65,334.9,321.21,310.59,303.21,296.52,293.27,280.4
32759,352.59,334.84,321.15,310.59,303.27,296.59,293.27,280.4
32897,352.59,334.84,321.15,310.59,303.27,296.59,293.34,280.4
33034,352.52,334.84,321.15,310.59,303.27,296.59,293.34,280.4
33172,352.52,334.84,321.15,310.59,303.27,296.59,293.34,280.4
33309,352.4,334.84,321.15,310.59,303.27,296.59,293.34,280.4
33446,352.4,334.84,321.15,310.53,303.27,296.59,293.27,280.4
33584,352.34,334.84,321.15,310.53,303.27,296.59,293.27,280.4
33721,352.34,334.84,321.09,310.59,303.27,296.59,293.27,280.4
33858,352.27,334.78,321.09,310.59,303.27,296.59,293.27,280.4
33995,352.21,334.71,321.15,310.59,303.27,296.65,293.27,280.4
34132,352.21,334.71,321.15,310.59,303.27,296.65,293.27,280.34
34271,352.09,334.71,321.09,310.59,303.34,296.65,293.27,280.34
34408,352.09,334.71,321.09,310.59,303.27,296.65,293.27,280.34
34545,352.09,334.65,321.09,310.59,303.27,296.59,293.27,280.4
34682,352.09,334.65,321.09,310.59,303.27,296.59,293.27,280.4
34820,351.96,334.65,321.09,310.59,303.27,296.65,293.34,280.34
34957,351.96,334.59,321.09,310.59,303.34,296.65,293.34,280.34
35094,351.9,334.59,321.09,310.59,303.34,296.65,293.34,280.4
35231,351.9,334.59,321.09,310.59,303.27,296.65,293.34,280.4
35369,351.84,334.59,321.09,310.59,303.27,296.65,293.34,280.34
35507,351.71,334.53,321.03,310.59,303.27,296.65,293.34,280.28
35644,351.71,334.53,321.03,310.59,303.27,296.65,293.34,280.28
35781,351.71,334.46,321.03,310.59,303.27,296.59,293.34,280.34
35918,351.71,334.46,321.09,310.59,303.27,296.59,293.34,280.34
36056,351.59,334.46,321.09,310.59,303.27,296.59,293.34,280.34
36193,351.59,334.46,320.96,310.59,303.34,296.65,293.34,280.34
36330,351.52,334.46,320.96,310.59,303.34,296.65,293.4,280.4
36468,351.52,334.4,321.03,310.59,303.34,296.65,293.4,280.34
36605,351.46,334.4,321.03,310.59,303.34,296.65,293.4,280.34
36743,351.46,334.4,321.03,310.59,303.34,296.65,293.4,280.34
36880,351.4,334.4,321.03,310.59,303.34,296.65,293.4,280.34
37017,351.34,334.4,321.03,310.65,303.34,296.65,293.4,280.28
37154,351.34,334.4,320.96,310.65,303.34,296.65,293.4,280.28
37292,351.21,334.34,320.96,310.59,303.34,296.65,293.4,280.34
37429,351.21,334.28,320.96,310.59,303.27,296.65,293.4,280.4
37566,351.15,334.28,320.96,310.59,303.27,296.65,293.4,280.4
37704,351.15,334.21,320.96,310.59,303.34,296.65,293.4,280.34
