Date,01/02/2020,Material,Brass,3min18s,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
186236,349.84,302.52,290.65,288.15,285.96,285.4,284.84,284.71
186374,349.84,302.52,290.65,288.15,285.96,285.4,284.84,284.71
186511,349.84,302.52,290.65,288.15,285.96,285.34,284.84,284.71
186649,349.84,302.52,290.65,288.15,286.03,285.4,284.84,284.71
186786,349.84,302.52,290.65,288.21,285.96,285.4,284.84,284.71
186924,349.84,302.59,290.65,288.21,285.96,285.4,284.84,284.71
187061,349.84,302.59,290.65,288.15,285.96,285.4,284.9,284.71
187198,349.77,302.59,290.65,288.15,285.96,285.4,284.84,284.65
187336,349.77,302.59,290.59,288.15,285.96,285.4,284.84,284.65
187473,349.84,302.59,290.59,288.15,285.96,285.4,284.9,284.65
187611,349.84,302.65,290.65,288.21,285.96,285.4,284.9,284.65
187748,349.77,302.65,290.65,288.21,285.96,285.4,284.84,284.71
187885,349.77,302.65,290.59,288.21,286.03,285.4,284.84,284.71
188022,349.71,302.65,290.65,288.21,286.03,285.4,284.84,284.71
188161,349.71,302.65,290.65,288.21,285.96,285.4,284.84,284.78
188298,349.71,302.65,290.65,288.21,285.96,285.4,284.84,284.78
188435,349.71,302.65,290.65,288.21,285.96,285.34,284.84,284.71
188572,349.65,302.71,290.59,288.21,286.03,285.34,284.9,284.71
188709,349.65,302.71,290.59,288.21,286.03,285.4,284.84,284.78
188848,349.65,302.65,290.65,288.21,285.96,285.4,284.84,284.78
188985,349.59,302.65,290.65,288.21,285.96,285.4,284.9,284.71
189122,349.59,302.65,290.65,288.21,285.96,285.4,284.9,284.71
189259,349.52,302.65,290.65,288.21,285.96,285.4,284.84,284.71
189396,349.52,302.71,290.65,288.21,286.03,285.4,284.84,284.71
189535,349.4,302.71,290.65,288.21,286.03,285.4,284.84,284.71
189672,349.4,302.65,290.65,288.21,286.03,285.4,284.84,284.71
189809,349.4,302.71,290.65,288.21,286.03,285.4,284.9,284.71
189946,349.4,302.71,290.65,288.21,286.03,285.4,284.9,284.65
190084,349.34,302.71,290.65,288.21,286.03,285.4,284.84,284.71
190222,349.34,302.71,290.65,288.28,286.03,285.4,284.9,284.71
190359,349.21,302.71,290.65,288.28,285.96,285.4,284.9,284.71
190496,349.21,302.71,290.65,288.28,285.96,285.4,284.84,284.71
190633,349.21,302.71,290.65,288.28,285.96,285.4,284.84,284.65
190771,349.15,302.71,290.65,288.21,285.96,285.4,284.9,284.65
190908,349.15,302.71,290.65,288.21,286.03,285.4,284.9,284.71
