Date,19/02/2020,Material,Aluminum,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
24244,331.84,314.21,303.02,294.96,289.46,286.09,284.71,280.15
24381,331.84,314.21,303.02,294.96,289.46,286.09,284.71,280.15
24518,331.84,314.21,303.09,294.96,289.46,286.09,284.71,280.21
24656,331.84,314.21,303.09,294.96,289.52,286.09,284.65,280.21
24794,331.78,314.21,303.09,294.96,289.52,286.09,284.65,280.15
24931,331.78,314.21,303.09,294.96,289.46,286.09,284.65,280.21
25068,331.71,314.21,303.09,294.96,289.46,286.09,284.65,280.21
25205,331.71,314.28,303.15,295.02,289.52,286.15,284.65,280.21
25342,331.71,314.28,303.15,295.02,289.52,286.15,284.78,280.21
25480,331.71,314.28,303.09,294.96,289.59,286.15,284.78,280.21
25617,331.71,314.28,303.09,294.96,289.59,286.15,284.71,280.21
25754,331.71,314.28,303.15,295.02,289.52,286.09,284.71,280.15
25892,331.71,314.28,303.15,295.02,289.52,286.09,284.71,280.15
26030,331.59,314.28,303.15,295.02,289.59,286.15,284.71,280.15
26167,331.59,314.34,303.21,295.02,289.59,286.15,284.78,280.15
26304,331.65,314.34,303.21,295.09,289.59,286.15,284.71,280.15
26441,331.65,314.34,303.21,295.09,289.59,286.15,284.71,280.15
26578,331.59,314.34,303.21,295.09,289.59,286.15,284.78,280.15
26716,331.53,314.34,303.21,295.09,289.59,286.15,284.78,280.15
26853,331.53,314.4,303.27,295.09,289.59,286.15,284.78,280.28
26990,331.53,314.4,303.27,295.09,289.65,286.21,284.78,280.28
27128,331.53,314.4,303.27,295.09,289.65,286.21,284.71,280.21
27266,331.53,314.34,303.27,295.15,289.65,286.21,284.71,280.21
27403,331.53,314.34,303.27,295.15,289.65,286.15,284.71,280.21
27540,331.4,314.4,303.27,295.15,289.65,286.15,284.71,280.28
27677,331.4,314.4,303.27,295.15,289.65,286.21,284.71,280.28
27814,331.4,314.4,303.4,295.15,289.65,286.21,284.78,280.15
27952,331.34,314.4,303.4,295.15,289.71,286.21,284.78,280.15
28089,331.34,314.4,303.34,295.15,289.71,286.21,284.78,280.21
28226,331.4,314.4,303.34,295.15,289.71,286.21,284.78,280.21
28363,331.4,314.4,303.34,295.21,289.71,286.21,284.84,280.21
28502,331.28,314.4,303.34,295.21,289.71,286.21,284.78,280.15
28639,331.28,314.4,303.4,295.21,289.71,286.21,284.78,280.15
28776,331.28,314.4,303.4,295.21,289.71,286.21,284.84,280.21
28913,331.28,314.4,303.4,295.27,289.71,286.21,284.84,280.21
29050,331.21,314.4,303.4,295.27,289.71,286.21,284.78,280.15
29188,331.21,314.46,303.4,295.27,289.77,286.28,284.78,280.15
29325,331.21,314.46,303.4,295.21,289.77,286.28,284.84,280.21
29462,331.21,314.46,303.4,295.21,289.77,286.28,284.84,280.21
29599,331.21,314.46,303.46,295.27,289.77,286.28,284.84,280.21
