Date,01/02/2020,Material,Brass,3min47s,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
24248,287.03,285.46,285.21,285.59,285.59,285.78,285.9,284.78
24385,287.09,285.4,285.21,285.59,285.65,285.78,285.9,284.78
24522,287.09,285.4,285.28,285.59,285.65,285.78,285.9,284.84
24660,287.15,285.4,285.28,285.65,285.65,285.78,285.9,284.84
24798,287.15,285.4,285.28,285.65,285.65,285.78,285.9,284.84
24935,287.21,285.4,285.28,285.59,285.59,285.78,285.9,284.84
25072,287.21,285.4,285.28,285.59,285.59,285.78,285.9,284.84
25209,287.28,285.4,285.21,285.65,285.59,285.78,285.9,284.84
25347,287.4,285.46,285.21,285.65,285.59,285.78,285.9,284.84
25484,287.4,285.46,285.21,285.59,285.59,285.78,285.96,284.84
25622,287.46,285.46,285.21,285.59,285.65,285.78,285.96,284.84
25759,287.46,285.46,285.21,285.59,285.65,285.78,285.9,284.84
25896,287.59,285.46,285.21,285.59,285.59,285.78,285.9,284.84
26034,287.59,285.46,285.21,285.59,285.59,285.78,285.9,284.84
26171,287.78,285.46,285.21,285.59,285.65,285.84,285.9,284.84
26308,287.9,285.46,285.21,285.65,285.65,285.78,285.9,284.84
26446,287.9,285.46,285.28,285.65,285.59,285.78,285.9,284.78
26584,288.09,285.46,285.28,285.65,285.59,285.78,285.9,284.78
26721,288.09,285.46,285.28,285.59,285.59,285.78,285.9,284.84
26858,288.34,285.46,285.21,285.59,285.59,285.78,285.9,284.84
26995,288.34,285.46,285.21,285.65,285.59,285.78,285.9,284.9
27132,288.53,285.46,285.21,285.65,285.59,285.78,285.9,284.9
27270,288.53,285.46,285.21,285.59,285.59,285.78,285.9,284.84
27408,288.53,285.46,285.28,285.59,285.59,285.78,285.9,284.84
27545,288.53,285.46,285.28,285.65,285.59,285.78,285.9,284.9
27682,288.53,285.46,285.28,285.65,285.59,285.78,285.9,284.84
27820,288.46,285.53,285.21,285.59,285.59,285.78,285.9,284.84
27957,288.46,285.46,285.21,285.59,285.59,285.78,285.9,284.9
28094,288.4,285.46,285.28,285.65,285.59,285.78,285.9,284.9
28232,288.4,285.46,285.28,285.65,285.59,285.78,285.9,284.84
28369,288.4,285.46,285.28,285.65,285.59,285.71,285.9,284.84
28507,288.4,285.46,285.21,285.65,285.65,285.71,285.9,284.84
28644,288.4,285.46,285.21,285.65,285.59,285.78,285.9,284.84
28781,288.4,285.53,285.28,285.65,285.59,285.78,285.84,284.84
28918,288.4,285.46,285.28,285.59,285.59,285.78,285.84,284.84
29057,288.4,285.46,285.21,285.59,285.59,285.78,285.9,284.84
29194,288.34,285.46,285.21,285.59,285.59,285.78,285.9,284.84
29331,288.34,285.46,285.21,285.65,285.59,285.78,285.9,284.84
29468,288.4,285.46,285.21,285.65,285.59,285.78,285.84,284.84
29605,288.4,285.46,285.21,285.59,285.59,285.71,285.84,284.84
29743,288.34,285.46,285.21,285.59,285.59,285.71,285.9,284.84
29880,288.34,285.53,285.21,285.59,285.59,285.78,285.9,284.84
30018,288.4,285.53,285.21,285.59,285.59,285.78,285.9,284.84
30155,288.4,285.53,285.21,285.59,285.59,285.71,285.9,284.84
30292,288.4,285.53,285.21,285.59,285.59,285.71,285.84,284.84
30430,288.46,285.53,285.21,285.59,285.59,285.71,285.84,284.84
30567,288.46,285.46,285.21,285.59,285.59,285.71,285.84,284.84
30704,288.46,285.46,285.28,285.59,285.53,285.71,285.9,284.84
30842,288.46,285.46,285.28,285.59,285.53,285.71,285.9,284.84
30980,288.53,285.46,285.21,285.59,285.59,285.71,285.9,284.84
31117,288.53,285.46,285.15,285.59,285.59,285.71,285.9,284.84
31254,288.53,285.46,285.15,285.59,285.59,285.71,285.9,284.84
31391,288.53,285.53,285.21,285.59,285.59,285.71,285.9,284.78
31528,288.53,285.53,285.21,285.59,285.59,285.71,285.84,284.78
31666,288.53,285.53,285.21,285.59,285.59,285.71,285.84,284.84
31804,288.53,285.53,285.21,285.59,285.59,285.71,285.84,284.84
31941,288.59,285.53,285.15,285.59,285.59,285.71,285.84,284.84
32078,288.59,285.53,285.21,285.59,285.59,285.71,285.84,284.78
32216,288.59,285.53,285.21,285.65,285.59,285.71,285.84,284.78
32353,288.59,285.53,285.21,285.65,285.59,285.71,285.84,284.84
32490,288.59,285.53,285.21,285.59,285.53,285.71,285.84,284.84
32627,288.53,285.53,285.21,285.59,285.53,285.71,285.84,284.84
32765,288.53,285.53,285.21,285.59,285.53,285.71,285.84,284.78
32903,288.53,285.53,285.28,285.59,285.59,285.71,285.84,284.78
33040,288.53,285.53,285.21,285.59,285.59,285.71,285.84,284.78
33177,288.53,285.53,285.21,285.59,285.59,285.71,285.9,284.78
33314,288.59,285.53,285.21,285.59,285.59,285.71,285.9,284.78
33452,288.59,285.53,285.21,285.59,285.59,285.71,285.84,284.78
33590,288.53,285.53,285.21,285.59,285.59,285.71,285.84,284.84
33727,288.53,285.46,285.21,285.59,285.53,285.71,285.84,284.78
33864,288.53,285.46,285.15,285.59,285.53,285.71,285.84,284.78
34001,288.53,285.46,285.15,285.59,285.59,285.71,285.84,284.78
34139,288.59,285.53,285.15,285.59,285.59,285.71,285.84,284.78
34276,288.59,285.53,285.15,285.53,285.53,285.71,285.84,284.78
34413,288.59,285.53,285.15,285.53,285.53,285.71,285.84,284.78
34551,288.59,285.53,285.15,285.53,285.53,285.65,285.84,284.78
34689,288.59,285.46,285.15,285.53,285.53,285.65,285.84,284.78
34826,288.59,285.46,285.21,285.53,285.53,285.65,285.84,284.78
34963,288.59,285.53,285.15,285.53,285.53,285.65,285.84,284.78
35100,288.59,285.53,285.15,285.53,285.53,285.65,285.84,284.78
35237,288.59,285.53,285.15,285.53,285.53,285.71,285.84,284.78
35375,288.59,285.53,285.15,285.53,285.53,285.71,285.84,284.78
35513,288.65,285.53,285.21,285.53,285.53,285.71,285.78,284.84
35650,288.65,285.53,285.21,285.53,285.53,285.71,285.84,284.84
35787,288.65,285.53,285.15,285.53,285.53,285.71,285.84,284.78
